metric,estimate,model,test,predict,truth,run_version_dark_fleet_rf,pollutant
accuracy,0.90334,detections_classification,inside_footprint,NA,NA,_v20260304,NA
accuracy,0.92245,detections_classification,outside_footprint,NA,NA,_v20260304,NA
f_meas,0.76563,detections_classification,inside_footprint,NA,NA,_v20260304,NA
f_meas,0.48462,detections_classification,outside_footprint,NA,NA,_v20260304,NA
pr_auc,0.86102,detections_classification,inside_footprint,NA,NA,_v20260304,NA
pr_auc,0.50634,detections_classification,outside_footprint,NA,NA,_v20260304,NA
precision,0.76155,detections_classification,inside_footprint,NA,NA,_v20260304,NA
precision,0.49968,detections_classification,outside_footprint,NA,NA,_v20260304,NA
recall,0.76976,detections_classification,inside_footprint,NA,NA,_v20260304,NA
recall,0.47044,detections_classification,outside_footprint,NA,NA,_v20260304,NA
roc_auc,0.94918,detections_classification,inside_footprint,NA,NA,_v20260304,NA
roc_auc,0.88707,detections_classification,outside_footprint,NA,NA,_v20260304,NA
sensitivity,0.76976,detections_classification,inside_footprint,NA,NA,_v20260304,NA
sensitivity,0.47044,detections_classification,outside_footprint,NA,NA,_v20260304,NA
specificity,0.93781,detections_classification,inside_footprint,NA,NA,_v20260304,NA
specificity,0.96043,detections_classification,outside_footprint,NA,NA,_v20260304,NA
aggregate_prediction_percent_error,1.656,detections_regression,inside_footprint,78.53933,77.25991,_v20260304,NA
aggregate_prediction_percent_error,40.4282,detections_regression,outside_footprint,45.65656,32.51239,_v20260304,NA
rsq_trad,0.64802,detections_regression,inside_footprint,NA,NA,_v20260304,NA
rsq_trad,0.26662,detections_regression,outside_footprint,NA,NA,_v20260304,NA
rsq_trad,0.92138,emissions_regression,inside_footprint,NA,NA,_v20260304,ch4
rsq_trad,0.69648,emissions_regression,outside_footprint,NA,NA,_v20260304,ch4
rsq_trad,0.93589,emissions_regression,inside_footprint,NA,NA,_v20260304,co
rsq_trad,0.66939,emissions_regression,outside_footprint,NA,NA,_v20260304,co
rsq_trad,0.97763,emissions_regression,inside_footprint,NA,NA,_v20260304,co2
rsq_trad,0.71385,emissions_regression,outside_footprint,NA,NA,_v20260304,co2
rsq_trad,0.9781,emissions_regression,inside_footprint,NA,NA,_v20260304,n2o
rsq_trad,0.72126,emissions_regression,outside_footprint,NA,NA,_v20260304,n2o
rsq_trad,0.90953,emissions_regression,inside_footprint,NA,NA,_v20260304,nox
rsq_trad,0.62014,emissions_regression,outside_footprint,NA,NA,_v20260304,nox
rsq_trad,0.97936,emissions_regression,inside_footprint,NA,NA,_v20260304,pm10
rsq_trad,0.7233,emissions_regression,outside_footprint,NA,NA,_v20260304,pm10
rsq_trad,0.97936,emissions_regression,inside_footprint,NA,NA,_v20260304,pm2_5
rsq_trad,0.7233,emissions_regression,outside_footprint,NA,NA,_v20260304,pm2_5
rsq_trad,0.97993,emissions_regression,inside_footprint,NA,NA,_v20260304,sox
rsq_trad,0.70471,emissions_regression,outside_footprint,NA,NA,_v20260304,sox
rsq_trad,0.96442,emissions_regression,inside_footprint,NA,NA,_v20260304,vocs
rsq_trad,0.74869,emissions_regression,outside_footprint,NA,NA,_v20260304,vocs
aggregate_prediction_percent_error,-9.23249,emissions_regression,inside_footprint,NA,NA,_v20260304,ch4
aggregate_prediction_percent_error,-18.03949,emissions_regression,outside_footprint,NA,NA,_v20260304,ch4
aggregate_prediction_percent_error,-11.05088,emissions_regression,inside_footprint,NA,NA,_v20260304,co
aggregate_prediction_percent_error,-23.97087,emissions_regression,outside_footprint,NA,NA,_v20260304,co
aggregate_prediction_percent_error,-4.42833,emissions_regression,inside_footprint,NA,NA,_v20260304,co2
aggregate_prediction_percent_error,-16.049,emissions_regression,outside_footprint,NA,NA,_v20260304,co2
aggregate_prediction_percent_error,-4.20781,emissions_regression,inside_footprint,NA,NA,_v20260304,n2o
aggregate_prediction_percent_error,-14.31824,emissions_regression,outside_footprint,NA,NA,_v20260304,n2o
aggregate_prediction_percent_error,-14.93257,emissions_regression,inside_footprint,NA,NA,_v20260304,nox
aggregate_prediction_percent_error,-31.83447,emissions_regression,outside_footprint,NA,NA,_v20260304,nox
aggregate_prediction_percent_error,-3.41417,emissions_regression,inside_footprint,NA,NA,_v20260304,pm10
aggregate_prediction_percent_error,-12.32254,emissions_regression,outside_footprint,NA,NA,_v20260304,pm10
aggregate_prediction_percent_error,-3.41417,emissions_regression,inside_footprint,NA,NA,_v20260304,pm2_5
aggregate_prediction_percent_error,-12.32254,emissions_regression,outside_footprint,NA,NA,_v20260304,pm2_5
aggregate_prediction_percent_error,-4.99852,emissions_regression,inside_footprint,NA,NA,_v20260304,sox
aggregate_prediction_percent_error,-17.3073,emissions_regression,outside_footprint,NA,NA,_v20260304,sox
aggregate_prediction_percent_error,-0.95977,emissions_regression,inside_footprint,NA,NA,_v20260304,vocs
aggregate_prediction_percent_error,-2.83054,emissions_regression,outside_footprint,NA,NA,_v20260304,vocs
