year,vessel_class,emissions_co2_mt
2017,other_fishing,3173842.849319974
2018,cargo.bulk_carrier,142659827.99822035
2019,passenger,154908203.9801712
2019,cargo.general,72760879.5139398
2020,dredge_fishing,219293.97166868963
2021,cargo.container,166701791.16740218
2021,tug,15026828.053594666
2021,trawlers,26683809.11649695
2021,pots_and_traps,875222.6485033937
2021,bunker,7296193.110607674
2021,set_longlines,873478.3459199774
2021,set_gillnets,695220.5780319987
2022,trawlers,35994534.18988895
2022,tug,16201005.059462333
2022,set_gillnets,785411.275938284
2023,tanker.chemical_oil,236046542.90962088
2023,seismic_vessel,2645363.5172938406
2024,passenger,228838747.27495855
2017,cargo.bulk_carrier,143670505.09726268
2018,other_fishing,3592790.2308904836
2020,tanker.chemical_oil,202924052.8981067
2022,bunker,6532988.109380376
2022,other_not_fishing,2162276.6189031736
2022,cargo.container,173794008.01980105
2023,specialized_reefer,7184420.034527027
2017,supply_vessel,5848387.6876570545
2018,dredge_non_fishing,3005897.1706192927
2020,drifting_longlines,3112944.4735598518
2024,cargo.general,73742032.11840652
2024,cargo.ro_ro,42925936.367126
2017,dredge_non_fishing,2840278.203485963
2022,patrol_vessel,3147314.7568471064
2023,drifting_longlines,3969723.5414932864
2018,supply_vessel,6212078.296995148
2019,cargo.ro_ro,40691392.52786726
2021,patrol_vessel,2780276.9155111504
2020,specialized_reefer,6212771.932652505
2022,squid_jigger,2094847.7924687392
2022,pole_and_line,497707.96862231905
2021,squid_jigger,1981827.6395729305
2021,tanker.liquefied_gas,63618866.85002638
2022,pots_and_traps,895709.678502631
2018,tuna_purse_seines,1852652.7847227203
2023,research,317501.5908044799
2022,tanker.liquefied_gas,64131623.61372483
2020,reefer,81477.42042452125
2017,tuna_purse_seines,1806960.7675838245
2022,set_longlines,911045.0558631367
2024,tanker.other,286700.92620752344
2020,seismic_vessel,2244056.336979517
2023,dredge_fishing,238266.6148829843
2022,well_boat,380774.94701703294
2017,dive_vessel,765404.3841785047
2021,other_not_fishing,1841271.4143433415
2024,trollers,48789.449772692766
2021,pole_and_line,473429.3491412749
2019,trollers,41170.387886063516
2022,other_seines,148859.45725943823
2019,tanker.other,252360.8772671066
2018,dive_vessel,858902.6560790834
2024,cargo.refrigerated,1467227.4381168452
2020,research,278212.74000001635
2021,other_seines,143524.96412664565
2023,reefer,212065.67340164175
2019,cargo.refrigerated,1119770.6771900242
2019,other_purse_seines,54191.546379088366
2021,well_boat,400907.7487279283
2024,container_reefer,3698131.7627712297
2019,fish_factory,63014.25016983853
2019,container_reefer,4101352.931639164
2024,other_purse_seines,55791.61241826709
2024,fish_factory,49560.15245870946
2024,driftnets,769.3431226435287
2019,driftnets,1066.5933904126694
2017,bunker_or_tanker,3134.611857673817
2018,bunker_or_tanker,1366.7966514110647
2017,passenger,123790438.24974954
2017,cargo.general,73228388.74502389
2018,passenger,139100460.38698843
2018,cargo.general,73113624.06977044
2019,tug,13647843.129234904
2019,set_gillnets,718144.4760602764
2019,trawlers,23437153.14324682
2020,other_fishing,3867882.4108315553
2021,tanker.chemical_oil,204325932.94076553
2022,drifting_longlines,3729646.662013564
2022,seismic_vessel,2521976.0115154115
2023,supply_vessel,7375506.30056774
2023,other_fishing,11200511.000667633
2023,cargo.bulk_carrier,163687958.41148135
2019,patrol_vessel,2566752.830759154
2019,cargo.container,149880667.38749087
2019,tanker.liquefied_gas,51902055.27078446
2022,tanker.chemical_oil,221893244.88043585
2024,trawlers,48463405.32039788
2017,cargo.ro_ro,43295371.44692846
2018,cargo.ro_ro,42229975.012383446
2021,drifting_longlines,3090008.1239945833
2022,research,320893.73911701795
2022,specialized_reefer,6954906.132035703
2023,tuna_purse_seines,1704497.5070400168
2024,patrol_vessel,3827480.385212699
2024,tug,18769928.8980473
2024,tanker.liquefied_gas,73270268.70027992
2024,set_longlines,917084.2474916176
2019,set_longlines,776198.0784202385
2019,bunker,6443523.680643653
2019,other_seines,128286.70880747196
2020,cargo.bulk_carrier,143631748.66286314
2023,dredge_non_fishing,3864713.914604304
2018,container_reefer,4580885.614448568
2021,specialized_reefer,6531246.01468436
2024,bunker,15275039.435056727
2024,set_gillnets,1145544.618564324
2020,supply_vessel,6035200.465996694
2021,seismic_vessel,2361283.4335850915
2020,dredge_non_fishing,3118692.0538448896
2019,squid_jigger,1379190.49447959
2019,pots_and_traps,755208.1018792344
2024,other_not_fishing,2580741.634393661
2024,pots_and_traps,850511.8821067567
2021,dredge_fishing,241570.37014607247
2024,cargo.container,196436153.06231382
2020,dive_vessel,820213.4854539441
2024,squid_jigger,2382356.2946471893
2024,pole_and_line,444109.1962760892
2018,trollers,39013.10339022939
2019,other_not_fishing,1642869.3339396974
2017,tanker.other,219329.1214922801
2018,fish_factory,54112.450528896705
2020,tuna_purse_seines,1943321.0625315267
2019,pole_and_line,398194.90421390376
2024,well_boat,411783.6797706889
2023,dive_vessel,924683.8324862983
2017,trollers,33292.01846105926
2018,tanker.other,234451.48392417183
2021,research,315592.0873590823
2024,other_seines,142724.8713639664
2017,container_reefer,5085589.896173405
2022,dredge_fishing,241739.95981496215
