year,fishing,length_size_class_percentile,hours,hours_dark,kw_hours,kw_hours_dark,emissions_co2_mt,emissions_co2_mt_dark,distance_nm,distance_nm_dark,average_speed_knots,average_speed_knots_dark,avg_speed_knots
2019,FALSE,2,84834454.35611111,68537536.79652494,130170157522.76945,108478056562.39291,36316371.21635268,28904756.315495066,65388968.548464604,63124800.64232279,0.7707831569703998,0.9210252307393021,6.086533384022991
2018,FALSE,4,72420140.89263582,18502803.341418937,140341222013.37198,39934428021.516365,27178872.09738097,6551566.503575306,120848823.13323045,30847708.199928414,1.6687184206447627,1.6671910537402261,8.330867120559798
2016,TRUE,8,18496726.007499997,16227613.5182085,8613301068.55698,7912114373.180913,2800675.3644354357,2559378.3492941246,34847939.25490809,32804569.188617006,1.8840058095026144,2.0215276357061387,5.65705664807148
2018,TRUE,2,34544.48027777777,16883.110889947402,27691141.363775007,19998225.939015687,4741.918092181721,3454.7634209680523,21641.756877683172,11452.609303686933,0.6264895781803139,0.678347099556521,3.373221464606832
2019,FALSE,9,59303698.87722223,8278241.256801874,470458978697.3462,66211615316.74916,96526271.86003344,12690397.953911353,319487333.04421777,44567802.45685591,5.3873087023738515,5.383728387987782,12.415999901065387
2018,FALSE,7,56247260.303611115,13013796.50477148,167393454106.33282,35759426607.09554,24130958.012864463,5205974.889603363,151176491.3773274,33052270.510385897,2.6877129759086555,2.539786948279647,9.332307319383382
2018,TRUE,8,22875088.793055568,15665944.673229435,10772755003.640406,7673294686.69472,3390510.5620578267,2424455.8201954016,42492191.17054972,31439919.159671195,1.857574917193306,2.006895837784805,5.747942347118121
2016,TRUE,10,36336000.46777777,26989852.57761903,55898718500.584564,40831576471.39888,17349937.97772324,12846046.621760303,105895271.64778115,90919523.75597823,2.914334827293046,3.368655812198545,8.91148839437935
2023,FALSE,7,64549614.75513389,8744261.464490857,201026977593.22906,24297891081.629383,25818645.829091214,3330997.5734696346,152791136.84146842,21795488.442444477,2.3670340624196573,2.4925476589364015,9.155253254744625
2016,FALSE,1,52352970.71111111,46842396.455829106,49273238975.97505,47467677595.67313,23908314.96798415,22197866.926852427,48621019.52046618,41303994.40568846,0.9287155792698334,0.8817651856184774,5.610054321777275
2019,TRUE,4,9708599.232499998,5821826.4334757365,1975814472.448622,1339136881.3314784,384737.87728872575,273349.89077467314,8124426.13580622,5718432.825049368,0.8368278410967173,0.9822403485215823,4.078454978059146
2023,FALSE,6,51849488.33905083,7580932.221273571,124102055151.1086,17070882748.757978,18598794.401167404,2523037.7588487663,104763666.93884096,16145201.596168045,2.0205342481641697,2.129711904145702,8.625252602171072
2021,TRUE,5,17246132.1110626,9976403.46169673,5214704755.192295,3314089154.335339,1193903.0686147439,736943.9737161568,17759591.23185454,12592118.126304068,1.0297724218674271,1.262190144439334,4.390924293094564
2022,FALSE,6,48289789.980313554,8225345.30235096,114386923919.19177,18254526027.386208,17645802.45583187,2682313.7212319705,102530726.90306617,18009418.27189121,2.123238203041786,2.189503006851734,8.590273737861182
2020,TRUE,2,45752.751388888886,22923.52583218296,34168655.69032133,21229977.484195713,5928.272424563536,3708.2964806232153,26090.31755247789,15023.460789401108,0.5702458706956355,0.6553730390073443,3.945101660123114
2020,FALSE,10,153829938.72983235,14081787.381493567,2635211349606.0806,241305739674.44727,492876507.560451,48402053.486379676,1063544032.0841013,103358833.76086009,6.913764907310903,7.3398945006580165,12.92809575542009
2018,TRUE,4,8575692.23138889,6008483.370059284,1730632006.7092052,1424984133.885154,333849.1494700587,287880.45752780314,7275867.80068262,6117137.332937806,0.8484292118193526,1.0180834257476608,4.019095390598354
2023,TRUE,6,24799487.41079861,18970901.153895315,9513884144.74215,7632129909.843122,2196568.747221112,1594819.4158178747,33111541.849398427,35523000.4804922,1.335170413037668,1.8724993711328375,4.5438653599488585
2017,TRUE,10,42299631.484368905,20771233.812452793,63129363389.29514,29987489297.485355,19794322.50931326,9451815.375227273,126110774.94940194,66807215.369918905,2.9813681709261224,3.2163335107164683,8.982880711252424
2018,FALSE,9,58750191.35083332,7938425.533048715,466814842972.747,64535219445.775734,97738887.40415432,12466628.42095424,321752956.8505919,42675871.90728218,5.4766282364802565,5.375860960037589,12.522234508075309
2022,FALSE,10,175192897.06478253,8472605.88976002,2980716665796.526,137472757252.23413,566505214.9221053,25949153.388831887,1217751760.623199,54329450.01845228,6.950919706367438,6.412366009389719,13.151187545981415
2020,TRUE,4,10126588.47602738,4929849.66556365,2129437357.744047,1177444525.479058,421276.39157571277,248877.2125063641,8027213.535988936,5078879.08288198,0.7926868515484475,1.0302300125619124,4.0631762528706785
2022,FALSE,7,60657123.367952034,8994017.910839206,187868957499.67062,24968931318.79013,24598888.506159417,3422608.259630981,148795340.34802565,23049881.242280174,2.4530563285274605,2.5628013498284723,9.060022690584201
2024,TRUE,7,47414424.28027776,24506316.093336865,19888401950.593212,10500575227.172968,5490304.045735885,2690135.039086819,74966311.6826095,48137916.108480014,1.5810866170063795,1.9643065047042485,5.011782810856705
2017,TRUE,1,2927.024999999999,1448.6406579206466,341071.800203611,210757.3308805466,86.31020744219522,55.64419855961026,1698.5907939570252,977.4426049097974,0.5803130461670214,0.6747308931069222,7.274739763756158
2024,FALSE,5,77397131.53888889,11502602.344866455,134237838495.84573,20227311220.051968,22637916.72789345,3187813.3980014105,120579215.36440955,18745949.265991863,1.5579287367235752,1.6297137555448982,8.422631576975505
2023,FALSE,8,70923076.76740056,7120993.90483916,285030583842.2858,28166782866.33072,49283401.29288571,4814713.774722228,239471461.0997164,25368573.492151614,3.3764956628304126,3.5625045929209525,10.881469156920142
2018,FALSE,2,74206303.77027775,74713616.18049893,113557697571.21463,118963789258.89273,31197049.37904054,31126998.92197879,59548964.97327563,71159573.84635669,0.8024785220083566,0.9524311294803867,6.119217376866578
2022,TRUE,10,67108499.740903914,21786905.747368805,89685443555.59264,28171441829.047752,29528249.85904618,8917377.958071688,181485984.1207857,60689342.78080704,2.704366582794676,2.785587980438042,8.723129742947835
