year,emissions_co2_mt,emissions_ch4_mt,emissions_n2o_mt,emissions_nox_mt,emissions_sox_mt,emissions_co_mt,emissions_vocs_mt,emissions_pm2_5_mt,emissions_pm10_mt,emissions_co2_dark_mt,emissions_ch4_dark_mt,emissions_n2o_dark_mt,emissions_nox_dark_mt,emissions_sox_dark_mt,emissions_co_dark_mt,emissions_vocs_dark_mt,emissions_pm2_5_dark_mt,emissions_pm10_dark_mt,fishing
2018,842226543.2014147,13303.20796410658,41108.3389687391,14178319.948908016,5210376.518317067,664856.4185102212,937264.4851882493,1427198.916164127,1552235.1165790062,241163978.34915143,2893.287787994449,11584.856643573656,2905445.7025535423,1483629.3049308928,148034.1170564415,263388.57507869974,405949.94372543844,441515.0201469411,FALSE
2022,54305600.51819813,1091.7379657874808,2730.8068896284262,1122018.1324141833,67468.65777042034,56478.85215739965,65801.03320207633,19596.302892973108,21313.125424272377,24330825.48755623,519.3940147699648,1240.4291133426977,509989.0554379954,30228.303459257804,26647.481400913177,31260.010401480875,8981.949655907056,9768.853881080393,TRUE
2017,814659885.2701803,12921.142465369758,39745.2130798789,13867249.157506878,5041078.937169993,647086.8436505042,902440.0668786253,1378260.398082988,1499009.1188161653,228402838.1614806,2835.4441809713426,10995.918587091255,2857327.12711616,1405861.6260850823,144291.84329749097,250707.48364242612,385144.75358610164,418887.09745472146,FALSE
2023,1017446616.6947669,16170.332935719307,49891.47441426562,16619587.831018118,1257932.4638074138,796550.4299469342,1165672.8539691297,358867.19634449325,390307.3762495179,144044362.91444778,1644.5612998351105,6915.008942885157,1592890.153920614,177011.06742490918,83814.1819366909,158918.59044144687,50124.33103787107,54515.69921390481,FALSE
2021,41295567.39897388,848.8099299641121,2086.591626352476,859033.1908185085,51307.00989995859,43781.709156385106,51088.554926493154,15021.078728274764,16337.068103718104,22946414.440809194,486.68010988471553,1168.3381941707898,479379.0698585288,28507.15536417715,24986.568969395325,29322.405964795962,8452.823887504988,9193.371662380277,TRUE
2020,851150727.0790951,13434.134908602615,41639.00563464377,14021624.701784726,1052582.02257165,665930.1644325838,962214.2345310766,298776.79622916516,324952.48551081936,247371739.81510326,2912.6847261732364,11871.68589164873,2912754.7535960614,304263.6362768388,149436.0775653823,269964.7492126608,85756.6650801978,93269.76464917629,FALSE
2024,1094315980.0570345,17019.55703394171,53506.697358857244,17642519.88734305,1352710.3946762062,843628.9533604144,1239589.8254468357,384410.5551797477,418088.57628435653,155120151.84861428,1722.124248385876,7428.141692971983,1679967.772188761,190579.24119918462,88528.33192127693,169514.6696802824,53799.09427988375,58512.40666986107,FALSE
2017,31841613.985397205,650.9940706180678,1606.7539555845908,662145.3958625363,197809.87348226807,33606.74517755227,39167.29061560369,56100.18845530415,61015.09858280267,21391060.79855943,442.5167418458654,1082.693609287831,444836.544265681,132879.03096870703,22800.309133309936,26657.11069995844,37877.98769592738,41196.45970933778,TRUE
2016,27984779.200712048,571.3306400293925,1411.5860754332264,582053.1534996812,173852.20506286048,29501.71354276668,34365.52683574307,49273.24790633835,53590.053104640814,27482704.990825564,560.763180841544,1386.5864750241985,569910.6790110847,170721.62502423086,28949.750266459392,33782.87165360919,48407.93359235823,52648.9290259816,TRUE
2019,862223470.8403949,13660.77368703176,42158.40501004755,14370147.65027474,5332720.757106943,679078.9055763242,969969.5926113154,1466701.110271076,1595198.0786302432,243461876.97909376,2963.3756890086734,11718.437912809446,2943330.2684704256,1497757.9212452378,150578.2216012141,268494.530940435,411212.07898526854,447238.16850838345,FALSE
2021,924270670.920082,14281.150492039265,45056.69125664654,15130846.76450858,1142959.0362917536,713463.3923645455,1028393.2200555467,322611.38149970403,350875.2071630073,227438015.10227555,2664.270496407474,10915.442209880965,2651147.623377831,279702.11090335314,136438.01496689496,248716.6665259443,78900.70272937178,85813.15478325915,FALSE
2016,752904323.3502052,12148.83314753207,36803.255668169295,12991709.852832656,4660056.729970258,606411.8953671688,839660.0234181363,1276829.289289636,1388691.6800909827,204260591.0404814,2860.4875310219013,9911.929542681182,2926588.0668082116,1259888.2755301897,143328.431987822,227788.18766973878,346367.2285283788,376712.29235439433,FALSE
2023,67766280.26906042,1361.8384817127221,3408.0234688931055,1398015.4588964013,84189.22717011043,70445.12979018454,82145.7747293103,24457.563269700873,26600.27844977479,27277071.668751694,592.1351713302515,1396.4010603102042,573286.8693571554,33887.49597185642,30306.939569895414,35651.052212150054,10138.40857385164,11026.629600346785,TRUE
2019,36986452.96320415,761.975998368338,1869.9513926742427,769428.4235493278,229763.36538029977,39288.26625701354,45872.17763462889,65372.235868117714,71099.46554367246,22123999.128959164,464.00659029878994,1123.4510385311617,461216.3992781275,137429.19776804306,23860.34411152422,27954.96253171244,39387.895309122665,42838.64959152392,TRUE
2024,73289686.21421592,1483.251925515963,3691.803547988552,1513904.2567095985,91050.39809825506,76646.1321105774,89471.81537733653,26522.669934117574,28846.308101061546,25100426.93130327,538.7612637939101,1281.4128052651968,526493.215342975,31183.96852741545,27619.01269219174,32432.37284357718,9286.914630670137,10100.536688425966,TRUE
2020,38151902.086807616,788.8715753020902,1930.3938386500818,794673.7795077179,47401.07908809001,40655.94217303336,47477.36778340708,13909.16909868937,15127.744614219098,21179362.86683128,448.1140967712338,1077.6872367089718,442430.68545856804,26312.210171550658,23015.338461606483,26992.96991657884,7793.780208480121,8476.589488321935,TRUE
