year,flag,receiver_type,emissions_co2_mt,n_distinct_ssvid
2017,FIN,satellite,68317.15554081477,488
2021,NOR,terrestrial,17733179.084104087,12851
2022,NOR,satellite,5525950.503194052,7684
2024,DNK,satellite,6026198.890213294,6655
2022,GRC,terrestrial,5990985.585888973,2463
2023,RUS,satellite,6299044.401842742,3058
2022,USA,dynamic,7894821.631611332,40389
2023,NOR,terrestrial,9811724.995665578,14374
2024,USA,dynamic,12797482.126456393,46533
2022,DEU,terrestrial,13570242.89622118,16154
2016,BHS,terrestrial,13597077.522188446,1478
2022,FRA,terrestrial,7274842.841552819,16568
2021,CAN,terrestrial,4251491.489437675,6091
2022,NLD,dynamic,5141051.921519811,16959
2021,POL,satellite,49743.028117434835,275
2016,MHL,satellite,33754397.16608131,3454
2017,NOR,satellite,5446580.870449726,4804
2020,PAN,terrestrial,34582175.059244335,7475
2018,USA,terrestrial,22598780.405157194,30050
2020,CAN,satellite,1783806.3178617645,4669
2022,GBR,terrestrial,11612411.78485627,22846
2020,CYM,satellite,2113054.8310061777,1131
2024,FRA,terrestrial,7335824.124604298,19697
2017,MHL,satellite,37866196.75635044,3960
2017,ATG,terrestrial,1972628.9039785098,507
2024,LBR,satellite,50253403.27669642,5962
2024,SGP,satellite,25598496.724000894,5058
2017,FRA,satellite,1998913.9542390206,2218
2018,DNK,terrestrial,7547065.742526188,3819
2017,PRT,satellite,3837731.178710845,1011
2019,GRC,terrestrial,8580811.579933304,2066
2016,BEL,terrestrial,2509521.2089583417,2029
2023,POL,terrestrial,695282.6203841793,2335
2023,HKG,dynamic,27891144.260471225,3450
2017,IRL,terrestrial,498768.54718727444,723
2022,IMN,dynamic,1082589.9654949883,254
2023,AUT,satellite,19334.122231962916,147
2021,NLD,satellite,1878980.9236202622,3414
2023,UKR,terrestrial,89946.87064597804,160
2023,TUR,dynamic,4526089.138601056,5922
2017,CAN,terrestrial,2654626.075768388,3703
2021,ITA,terrestrial,9591418.997174187,6015
2023,CAN,satellite,2536237.5610194877,6786
2017,CAN,satellite,1258789.3841716945,3096
2016,GRC,terrestrial,9137584.435458101,1740
2019,BHS,terrestrial,13257375.599553993,1557
2019,PAN,satellite,58872960.40232882,6847
2017,DEU,satellite,18968956.2424259,2969
2023,JPN,terrestrial,9314327.009959245,9971
2019,BHS,satellite,20593151.405373115,1396
2024,TUR,satellite,1037193.8495031577,5357
2021,CHN,satellite,8335274.262189921,13595
2024,ESP,dynamic,1808836.3290864942,8680
2021,PRT,terrestrial,5529782.577425729,1957
2022,CYM,terrestrial,3716295.824716091,1758
2024,HKG,dynamic,26621890.161059752,3616
2024,CAN,terrestrial,2504258.835056638,7354
2024,VUT,dynamic,343540.28396182193,426
2021,PAN,satellite,58342676.90882828,7143
2020,GHA,satellite,143659.97661617718,69
2024,IDN,satellite,6705029.284856028,14005
2022,IDN,dynamic,5411202.050219615,12433
2018,TUV,satellite,386648.3809818199,218
2022,IRN,dynamic,1710465.742444071,3223
2023,BLZ,terrestrial,400771.5897335628,669
2016,MHL,terrestrial,22460375.726779975,3687
2023,CZE,terrestrial,33233.18851342892,125
2022,VNM,dynamic,2075583.5886367415,8908
2017,DOM,satellite,5521.333618054697,25
2018,TUR,satellite,767842.7038598753,1569
2017,POL,satellite,26088.672971016924,155
2024,TWN,satellite,1776490.7750908027,4593
2020,AUS,terrestrial,4476475.317169614,6858
2020,IRN,satellite,642460.4774827713,1681
2021,SEN,terrestrial,69685.07787396325,85
2023,SAU,dynamic,3199411.551499222,2495
2023,MLT,satellite,15611009.984483752,2817
2024,CHE,satellite,359387.4725898592,1191
2019,IND,satellite,2244674.094435065,2049
2021,NIU,satellite,34870.32865977989,84
2021,CMR,terrestrial,274746.8828789865,216
2018,ARE,terrestrial,680902.6222494142,569
2021,ARE,satellite,140372.29583917884,548
2018,VNM,terrestrial,440377.04923828377,1769
2021,BGD,dynamic,41003.2426873759,105
2024,ARE,terrestrial,127757.56676154485,790
2017,IDN,terrestrial,2294183.2999836328,3082
2017,HTI,terrestrial,1292.0501321644554,5
2016,NGA,satellite,343685.75542207755,406
2021,THA,dynamic,133362.43758679414,830
