vessel_class,year,emissions_co2_mt,n_unique_vessels,share_emissions,share_vessels
Cargo: container,2015,131038788.91218272,5098,0.1906885413039575,0.020413883683308508
Tanker: oil,2015,121560287.54185262,9989,0.17689536132221112,0.039998878798071534
Cargo: bulk carrier,2015,111291302.56140836,11972,0.16195186418789723,0.04793939102718114
Passenger,2015,92993477.61807534,70173,0.13532474426070024,0.28099322473691796
Cargo: general,2015,53313795.16274397,41733,0.07758259913234337,0.16711114314545192
Tanker: chemical,2015,48880281.68423919,4730,0.07113092001438326,0.018940304005894318
Tanker: liquefied gas,2015,37683664.970551305,1310,0.054837526841286295,0.005245623308186376
Cargo: ro ro,2015,34382922.95012362,2387,0.0500342644918621,0.009558246440183877
Fishing,2015,21395412.017165285,62940,0.0311347498097268,0.2520301763490462
Tug,2015,10446877.556835309,25778,0.015202367627413033,0.1032226546858232
Supply vessel,2015,5444103.619917827,4290,0.007922296799350302,0.017178415261159964
Specialized reefer,2015,4265707.957836991,518,0.006207487377296687,0.0020742235676645365
Container reefer,2015,3856376.617263652,105,0.005611825612624603,4.2045072317524387e-4
Cargo: refrigerated,2015,2159156.097412892,136,0.0031420187112621554,5.445837938269825e-4
Dredge non fishing,2015,1907035.0373874295,1819,0.0027751304214101934,0.007283808242435891
Seismic vessel,2015,1867390.1811775155,1086,0.0027174389556722128,0.004348661765412523
Bunker,2015,1413621.206839846,1837,0.0020571112426052726,0.007355885509265933
Other not fishing,2015,1158335.5123408805,1088,0.0016856177550364964,0.00435667035061586
Patrol vessel,2015,1073673.237574514,2273,0.001562416634111207,0.009101757083593613
Dive vessel,2015,584058.4477745348,323,8.499258453694796e-4,0.0012933865103390836
Tanker: other,2015,246419.65592324364,30,3.585915676320618e-4,1.2012877805006967e-4
Well boat,2015,161329.466293446,71,2.347677420726153e-4,2.843047747184982e-4
Research,2015,63518.35459995478,46,9.243234377578117e-5,1.841974596767735e-4
Cargo: container,2016,137172668.20901045,5141,0.18223506073402035,0.018187864615210447
Tanker: oil,2016,130811993.72597936,10202,0.17378485038338165,0.03609270468865532
Cargo: bulk carrier,2016,118486430.9725426,12670,0.15741023504433277,0.04482401180212339
Passenger,2016,108921479.37293716,84334,0.14470311518998874,0.29835739631572805
Cargo: general,2016,65871450.895127915,46885,0.08751078484688367,0.16587007050848895
Tanker: chemical,2016,53771101.98451006,4928,0.07143536802062969,0.017434311772759597
Tanker: liquefied gas,2016,41019767.95495712,1379,0.054495111906527796,0.004878635538684148
Cargo: ro ro,2016,35217880.098230094,2505,0.046787254359194806,0.008862205964034656
Fishing,2016,25163976.012852225,72448,0.03343055695340285,0.2563070250229073
Tug,2016,11200708.138053767,28062,0.014880236379831433,0.09927793363782057
Supply vessel,2016,5409118.994176388,4086,0.00718606076043746,0.014455478470676889
Specialized reefer,2016,4243885.714721004,516,0.0056380384012944505,0.001825508294387977
Container reefer,2016,3861349.147796376,102,0.0051298353064893444,3.608562907511118e-4
Cargo: refrigerated,2016,2176228.8981661797,161,0.0028911386692877165,5.695868903032254e-4
Dredge non fishing,2016,2159988.198297295,1969,0.0028695627608679745,0.006965941534205285
Seismic vessel,2016,1891410.6468182115,1096,0.0025127551909298533,0.0038774362221884167
Bunker,2016,1882940.374720225,2121,0.0025015023621384916,0.007503688163559882
Other not fishing,2016,1195541.547195718,1072,0.0015882871515722628,0.0037925288596587434
Patrol vessel,2016,1158899.8582036486,2470,0.0015396083549428026,0.008738382727012215
Dive vessel,2016,633371.8948676968,354,8.41439969313468e-4,0.0012523835973126819
Tanker: other,2016,229817.79241298063,29,3.0531489913372537e-4,1.0259639639002197e-4
Well boat,2016,172559.99330332075,79,2.292474242170291e-4,2.794867349935081e-4
Research,2016,71233.96542730404,52,9.463493118169989e-5,1.839659521476256e-4
Cargo: container,2017,144657563.11947054,5322,0.17550872244313942,0.01683788238792937
Tanker: oil,2017,139620367.924315,10583,0.16939724320670072,0.03348277138509142
Passenger,2017,129039901.68398152,100688,0.15656027794440014,0.31855932015705235
Cargo: bulk carrier,2017,125021071.98603337,13107,0.15168435130224522,0.041468268406349165
Cargo: general,2017,79665998.50862876,50225,0.09665638850046777,0.15890316477522598
Tanker: chemical,2017,57188787.39932359,5100,0.06938545623251012,0.016135512998579443
Tanker: liquefied gas,2017,45181191.1497739,1460,0.054816996541045555,0.004619186074103134
Cargo: ro ro,2017,36367137.91548898,2601,0.04412316768525617,0.008229111629275516
