year,emissions_co2_mt,data_source
2017,1106870514.6529996,GFW (AIS + S1)
2018,1143103642.9331532,GFW (AIS + S1)
2019,1173744789.3096235,GFW (AIS + S1)
2020,1197514510.0586104,GFW (AIS + S1)
2021,1269655525.6842566,GFW (AIS + S1)
2022,1340845648.6101184,GFW (AIS + S1)
2023,1377257879.333115,GFW (AIS + S1)
2024,1466514049.0167058,GFW (AIS + S1)
2025,1532825465.8378205,GFW (AIS + S1)
2015,687187536.3675199,GFW (AIS)
2016,752723804.3903079,GFW (AIS)
2017,824218654.8097696,GFW (AIS)
2018,861417974.302553,GFW (AIS)
2019,884081784.8580034,GFW (AIS)
2020,879054702.1982206,GFW (AIS)
2021,941098606.7724864,GFW (AIS)
2022,1004524398.1308684,GFW (AIS)
2023,1054249166.9975848,GFW (AIS)
2024,1139197974.2831259,GFW (AIS)
2025,1189412752.7986903,GFW (AIS)
2017,881212553.0298889,EDGAR
2018,886708291.8009264,EDGAR
2019,874850014.0718845,EDGAR
2020,797773420.1243864,EDGAR
2021,832929894.4205941,EDGAR
2022,837033365.0310053,EDGAR
2023,890123126.379619,EDGAR
2024,860275609.8970959,EDGAR
