data_source,year,emissions_co2_mt
"GFW (AIS, IMO registry)",2015,378853830.53014445
"GFW (AIS, IMO registry)",2016,405307680.8163688
"GFW (AIS, IMO registry)",2017,430950113.2313442
"GFW (AIS, IMO registry)",2018,440342949.1528414
"GFW (AIS, IMO registry)",2019,418543431.43628013
"GFW (AIS, IMO registry)",2020,388986618.74874324
"GFW (AIS, IMO registry)",2021,383643912.24502945
"GFW (AIS, IMO registry)",2022,372310578.1914757
"GFW (AIS, IMO registry)",2023,349166650.34801596
"GFW (AIS, IMO registry)",2024,336507521.3821673
"GFW (AIS, IMO registry)",2025,315777369.7693383
"GFW (AIS, any registry)",2015,564923792.4676361
"GFW (AIS, any registry)",2016,604389845.5152661
"GFW (AIS, any registry)",2017,643700999.6426824
"GFW (AIS, any registry)",2018,658816009.2735955
"GFW (AIS, any registry)",2019,625459761.074478
"GFW (AIS, any registry)",2020,580690328.0178863
"GFW (AIS, any registry)",2021,572838884.6572144
"GFW (AIS, any registry)",2022,555749588.3210973
"GFW (AIS, any registry)",2023,521707405.15852326
"GFW (AIS, any registry)",2024,500922484.80977213
"GFW (AIS, any registry)",2025,470436927.9777367
"GFW (AIS, no registry)",2015,122263743.899884
"GFW (AIS, no registry)",2016,148333958.87504172
"GFW (AIS, no registry)",2017,180517655.167088
"GFW (AIS, no registry)",2018,202601965.02895707
"GFW (AIS, no registry)",2019,258622023.78352553
"GFW (AIS, no registry)",2020,298364374.1803359
"GFW (AIS, no registry)",2021,368259722.1152715
"GFW (AIS, no registry)",2022,448774809.80977124
"GFW (AIS, no registry)",2023,532541761.83906037
"GFW (AIS, no registry)",2024,638275489.473353
"GFW (AIS, no registry)",2025,718975824.820953
"GFW (AIS, other registry)",2015,186069961.93749177
"GFW (AIS, other registry)",2016,199082164.69889736
"GFW (AIS, other registry)",2017,212750886.4113382
"GFW (AIS, other registry)",2018,218473060.12075377
"GFW (AIS, other registry)",2019,206916329.63819814
"GFW (AIS, other registry)",2020,191703709.26914304
"GFW (AIS, other registry)",2021,189194972.41218513
"GFW (AIS, other registry)",2022,183439010.12962136
"GFW (AIS, other registry)",2023,172540754.81050733
"GFW (AIS, other registry)",2024,164414963.4276047
"GFW (AIS, other registry)",2025,154659558.20839843
