fishing,length_size_bin,n,type,length_bin_min,length_bin_max
FALSE,2,6628487,s1_detections,100,200
FALSE,3,2308863,s1_detections,200,300
TRUE,3,931823,s1_detections,50,75
FALSE,4,540576,s1_detections,300,Inf
TRUE,1,12500785,s1_detections,0,25
TRUE,4,216665,s1_detections,75,Inf
TRUE,2,5211898,s1_detections,25,50
FALSE,1,5913020,s1_detections,0,100
FALSE,1,788039,ais_vessels,0,100
FALSE,2,59453,ais_vessels,100,200
FALSE,3,22637,ais_vessels,200,300
FALSE,4,3387,ais_vessels,300,Inf
TRUE,1,108240,ais_vessels,0,25
TRUE,2,74843,ais_vessels,25,50
TRUE,3,7840,ais_vessels,50,75
TRUE,4,3546,ais_vessels,75,Inf
