pollutant,term,estimate,std_error,statistic,p_value,run_version_dark_fleet_rf,model
ch4,emissions_co2_mt:log(mean_distance_from_shore_m + 1),1.25162973e-6,3.2937225e-9,380.00461,0,_v20260714,emissions_regression
ch4,emissions_co2_mt:post_2020FALSE:fishingFALSE,-1.20586809e-6,3.16801838e-8,-38.0637972,9.6240203e-317,_v20260714,emissions_regression
ch4,emissions_co2_mt:post_2020FALSE:fishingTRUE,3.6944325e-6,8.41345542e-8,43.911001,0,_v20260714,emissions_regression
ch4,emissions_co2_mt:post_2020TRUE:fishingFALSE,-1.92399541e-6,3.13549054e-8,-61.3618629,0,_v20260714,emissions_regression
ch4,emissions_co2_mt:post_2020TRUE:fishingTRUE,3.73445525e-6,4.51796324e-8,82.6579379,0,_v20260714,emissions_regression
co,emissions_co2_mt:log(mean_distance_from_shore_m + 1),6.01680427e-5,1.57336401e-7,382.416543,0,_v20260714,emissions_regression
co,emissions_co2_mt:post_2020FALSE:fishingFALSE,2.91051846e-5,1.51331696e-6,19.2327089,2.0545484599999995e-82,_v20260714,emissions_regression
co,emissions_co2_mt:post_2020FALSE:fishingTRUE,2.72815521e-4,4.01898702e-6,67.8816626,0,_v20260714,emissions_regression
co,emissions_co2_mt:post_2020TRUE:fishingFALSE,-5.47566826e-6,1.49777887e-6,-3.65585892,2.56338216e-4,_v20260714,emissions_regression
co,emissions_co2_mt:post_2020TRUE:fishingTRUE,2.76457368e-4,2.15816626e-6,128.098272,0,_v20260714,emissions_regression
n2o,emissions_co2_mt:log(mean_distance_from_shore_m + 1),7.13495463e-7,2.31611508e-9,308.057,0,_v20260714,emissions_regression
n2o,emissions_co2_mt:post_2020FALSE:fishingFALSE,4.16583744e-5,2.22772111e-8,1869.99953,0,_v20260714,emissions_regression
n2o,emissions_co2_mt:post_2020FALSE:fishingTRUE,4.30238399e-5,5.91626373e-8,727.213016,0,_v20260714,emissions_regression
n2o,emissions_co2_mt:post_2020TRUE:fishingFALSE,4.11502551e-5,2.20484783e-8,1866.35352,0,_v20260714,emissions_regression
n2o,emissions_co2_mt:post_2020TRUE:fishingTRUE,4.38521031e-5,3.1769898e-8,1380.30355,0,_v20260714,emissions_regression
nox,emissions_co2_mt:log(mean_distance_from_shore_m + 1),0.00201908988,4.32503138e-6,466.838205,0,_v20260714,emissions_regression
nox,emissions_co2_mt:post_2020FALSE:fishingFALSE,-0.00733570926,4.15996761e-5,-176.340538,0,_v20260714,emissions_regression
nox,emissions_co2_mt:post_2020FALSE:fishingTRUE,-9.74864924e-4,1.10478216e-4,-8.82404655,1.10604684e-18,_v20260714,emissions_regression
nox,emissions_co2_mt:post_2020TRUE:fishingFALSE,-0.00845288617,4.11725485e-5,-205.303934,0,_v20260714,emissions_regression
nox,emissions_co2_mt:post_2020TRUE:fishingTRUE,-0.00214456184,5.93259839e-5,-36.1487783,6.528894519999997e-286,_v20260714,emissions_regression
pm10,emissions_co2_mt:log(mean_distance_from_shore_m + 1),3.97063724e-5,9.8986601e-8,401.128759,0,_v20260714,emissions_regression
pm10,emissions_co2_mt:post_2020FALSE:fishingFALSE,4.50020486e-4,9.52088015e-7,472.666895,0,_v20260714,emissions_regression
pm10,emissions_co2_mt:post_2020FALSE:fishingTRUE,5.78956424e-4,2.52850492e-6,228.97184,0,_v20260714,emissions_regression
pm10,emissions_co2_mt:post_2020TRUE:fishingFALSE,5.48146968e-5,9.42312385e-7,58.1704089,0,_v20260714,emissions_regression
pm10,emissions_co2_mt:post_2020TRUE:fishingTRUE,2.28706896e-4,1.35778841e-6,168.440748,0,_v20260714,emissions_regression
pm2_5,emissions_co2_mt:log(mean_distance_from_shore_m + 1),3.65298626e-5,9.10676729e-8,401.128759,0,_v20260714,emissions_regression
pm2_5,emissions_co2_mt:post_2020FALSE:fishingFALSE,4.14018847e-4,8.75920974e-7,472.666895,0,_v20260714,emissions_regression
pm2_5,emissions_co2_mt:post_2020FALSE:fishingTRUE,5.3263991e-4,2.32622453e-6,228.97184,0,_v20260714,emissions_regression
pm2_5,emissions_co2_mt:post_2020TRUE:fishingFALSE,5.04295211e-5,8.66927395e-7,58.1704089,0,_v20260714,emissions_regression
pm2_5,emissions_co2_mt:post_2020TRUE:fishingTRUE,2.10410344e-4,1.24916534e-6,168.440748,0,_v20260714,emissions_regression
sox,emissions_co2_mt:log(mean_distance_from_shore_m + 1),-1.23766054e-5,7.14913631e-8,-173.120288,0,_v20260714,emissions_regression
sox,emissions_co2_mt:post_2020FALSE:fishingFALSE,0.00630397113,6.87629127e-7,9167.69066,0,_v20260714,emissions_regression
sox,emissions_co2_mt:post_2020FALSE:fishingTRUE,0.00636823807,1.82616901e-6,3487.21177,0,_v20260714,emissions_regression
sox,emissions_co2_mt:post_2020TRUE:fishingFALSE,0.00166199367,6.80568847e-7,2442.06545,0,_v20260714,emissions_regression
sox,emissions_co2_mt:post_2020TRUE:fishingTRUE,0.00167313967,9.80639233e-7,1706.17248,0,_v20260714,emissions_regression
vocs,emissions_co2_mt:log(mean_distance_from_shore_m + 1),1.00017842e-4,2.01722857e-7,495.81809,0,_v20260714,emissions_regression
vocs,emissions_co2_mt:post_2020FALSE:fishingFALSE,-3.94067427e-4,1.94024153e-6,-203.102253,0,_v20260714,emissions_regression
vocs,emissions_co2_mt:post_2020FALSE:fishingTRUE,-2.01268532e-4,5.15279069e-6,-39.0601023,0,_v20260714,emissions_regression
vocs,emissions_co2_mt:post_2020TRUE:fishingFALSE,-4.3795404e-4,1.92031997e-6,-228.063056,0,_v20260714,emissions_regression
vocs,emissions_co2_mt:post_2020TRUE:fishingTRUE,-2.09514081e-4,2.76701044e-6,-75.7185728,0,_v20260714,emissions_regression
