time,fishing,inside_footprint,s1_imaged,emissions_co2_mt,emissions_co2_dark_mt
2023-02-01,FALSE,FALSE,FALSE,16386021.666717775,27961.30059
2021-01-01,FALSE,FALSE,FALSE,15440847.980442908,8736.13022
2020-01-01,TRUE,FALSE,FALSE,453531.4199827858,1164.4240299999997
2025-03-01,FALSE,FALSE,FALSE,21315109.046630267,0
2017-03-01,FALSE,FALSE,FALSE,14263228.912675016,1866.51429
2024-03-01,FALSE,FALSE,FALSE,20427328.042355727,0
2025-09-01,FALSE,FALSE,FALSE,21784884.394908506,25475.43622
2018-01-01,FALSE,FALSE,FALSE,14622755.619673703,1859.24028
2020-12-01,FALSE,FALSE,FALSE,15457860.04296779,21094.854679999997
2018-12-01,TRUE,FALSE,FALSE,391106.07710155484,2165.05337
2019-01-01,FALSE,FALSE,FALSE,14852617.052834619,5747.57366
2019-08-01,FALSE,TRUE,TRUE,61795242.14687872,22994611.451619998
2022-01-01,TRUE,FALSE,FALSE,477597.44983399764,1963.88213
2019-02-01,FALSE,FALSE,FALSE,12568735.94516656,6751.135260000001
2019-12-01,FALSE,FALSE,FALSE,15007446.247708935,21341.425890000002
2019-11-01,FALSE,TRUE,TRUE,54425786.72168559,23213312.144679986
2021-02-01,TRUE,FALSE,FALSE,383222.00903063314,14733.579160000001
2025-08-01,FALSE,FALSE,FALSE,22076757.096578807,15863.87221
2019-03-01,FALSE,TRUE,TRUE,53984241.579605944,22508278.349140003
2023-05-01,FALSE,FALSE,FALSE,18337840.151230037,20553.96861
2022-05-01,FALSE,FALSE,FALSE,16856744.62745075,29195.413
2018-03-01,TRUE,FALSE,FALSE,439244.16956776683,9482.56106
2025-05-01,FALSE,FALSE,FALSE,21451645.472064897,535.50578
2020-03-01,TRUE,FALSE,FALSE,499383.38269525993,4813.201749999999
2019-04-01,TRUE,FALSE,FALSE,448771.05854365276,1126.63647
2018-04-01,FALSE,FALSE,FALSE,14137851.082317958,3224.6221299999997
2024-04-01,TRUE,FALSE,FALSE,617719.8231633307,6065.311500000001
2023-04-01,FALSE,FALSE,FALSE,18146355.770994384,28410.60769
2019-06-01,FALSE,TRUE,TRUE,58000169.080377124,22572504.9122
2024-10-01,FALSE,FALSE,FALSE,21382726.794977963,636.48166
2023-10-01,FALSE,FALSE,FALSE,18012762.987972304,28809.488180000004
2025-04-01,TRUE,FALSE,FALSE,618390.3185050077,2848.83228
2022-11-01,TRUE,FALSE,FALSE,541199.586843241,2559.31925
2023-09-01,FALSE,FALSE,FALSE,16983103.080016546,29443.674890000002
2024-06-01,FALSE,FALSE,FALSE,19990749.447348393,1058.07212
2021-11-01,TRUE,FALSE,FALSE,471935.91250261414,1341.46007
2021-05-01,TRUE,FALSE,FALSE,516806.330114929,2406.91297
2019-10-01,TRUE,FALSE,FALSE,495899.7582764791,966.2779699999999
2020-05-01,FALSE,FALSE,FALSE,14307735.756550387,10996.5821
2017-04-01,TRUE,FALSE,FALSE,398459.7446434127,4252.4474900000005
2022-06-01,TRUE,FALSE,FALSE,564782.0409748235,1973.68464
2022-10-01,FALSE,FALSE,FALSE,17640350.12204004,19972.58329
2018-09-01,FALSE,FALSE,FALSE,14420824.198789626,1389.75334
2019-07-01,FALSE,FALSE,FALSE,14352513.361411154,18169.81381
2021-10-01,TRUE,FALSE,FALSE,482247.23352261906,1133.7740700000002
