threshold,metric,estimate,test,run_version_dark_fleet_rf
0.01,recall,0.99588,inside_footprint,_v20260304
0.02,recall,0.99078,inside_footprint,_v20260304
0.03,recall,0.9854,inside_footprint,_v20260304
0.04,recall,0.98032,inside_footprint,_v20260304
0.05,recall,0.97519,inside_footprint,_v20260304
0.06,recall,0.96971,inside_footprint,_v20260304
0.07,recall,0.9641,inside_footprint,_v20260304
0.08,recall,0.95851,inside_footprint,_v20260304
0.09,recall,0.95289,inside_footprint,_v20260304
0.1,recall,0.94738,inside_footprint,_v20260304
0.11,recall,0.94171,inside_footprint,_v20260304
0.12,recall,0.93573,inside_footprint,_v20260304
0.13,recall,0.92991,inside_footprint,_v20260304
0.14,recall,0.92451,inside_footprint,_v20260304
0.15,recall,0.91859,inside_footprint,_v20260304
0.16,recall,0.9129,inside_footprint,_v20260304
0.17,recall,0.90675,inside_footprint,_v20260304
0.18,recall,0.90039,inside_footprint,_v20260304
0.19,recall,0.8942,inside_footprint,_v20260304
0.2,recall,0.88789,inside_footprint,_v20260304
0.21,recall,0.88181,inside_footprint,_v20260304
0.22,recall,0.87553,inside_footprint,_v20260304
0.23,recall,0.86931,inside_footprint,_v20260304
0.24,recall,0.86298,inside_footprint,_v20260304
0.25,recall,0.85691,inside_footprint,_v20260304
0.26,recall,0.85085,inside_footprint,_v20260304
0.27,recall,0.84466,inside_footprint,_v20260304
0.28,recall,0.83859,inside_footprint,_v20260304
0.29,recall,0.83255,inside_footprint,_v20260304
0.3,recall,0.82635,inside_footprint,_v20260304
0.31,recall,0.82,inside_footprint,_v20260304
0.32,recall,0.81347,inside_footprint,_v20260304
0.33,recall,0.80732,inside_footprint,_v20260304
0.34,recall,0.8012,inside_footprint,_v20260304
0.35,recall,0.79487,inside_footprint,_v20260304
0.36,recall,0.78845,inside_footprint,_v20260304
0.37,recall,0.78221,inside_footprint,_v20260304
0.38,recall,0.77608,inside_footprint,_v20260304
0.39,recall,0.76976,inside_footprint,_v20260304
0.4,recall,0.7634,inside_footprint,_v20260304
0.41,recall,0.75666,inside_footprint,_v20260304
0.42,recall,0.74998,inside_footprint,_v20260304
0.43,recall,0.74371,inside_footprint,_v20260304
0.44,recall,0.73741,inside_footprint,_v20260304
0.45,recall,0.73051,inside_footprint,_v20260304
0.46,recall,0.72389,inside_footprint,_v20260304
0.47,recall,0.71712,inside_footprint,_v20260304
0.48,recall,0.71056,inside_footprint,_v20260304
0.49,recall,0.70404,inside_footprint,_v20260304
0.5,recall,0.69741,inside_footprint,_v20260304
0.51,recall,0.69082,inside_footprint,_v20260304
0.52,recall,0.68434,inside_footprint,_v20260304
0.53,recall,0.67745,inside_footprint,_v20260304
0.54,recall,0.67041,inside_footprint,_v20260304
0.55,recall,0.66348,inside_footprint,_v20260304
0.56,recall,0.65687,inside_footprint,_v20260304
0.57,recall,0.65022,inside_footprint,_v20260304
0.58,recall,0.64288,inside_footprint,_v20260304
0.59,recall,0.63591,inside_footprint,_v20260304
0.6,recall,0.62891,inside_footprint,_v20260304
0.61,recall,0.62158,inside_footprint,_v20260304
0.62,recall,0.61428,inside_footprint,_v20260304
0.63,recall,0.60696,inside_footprint,_v20260304
0.64,recall,0.59962,inside_footprint,_v20260304
0.65,recall,0.59215,inside_footprint,_v20260304
0.66,recall,0.58484,inside_footprint,_v20260304
0.67,recall,0.57736,inside_footprint,_v20260304
0.68,recall,0.56962,inside_footprint,_v20260304
0.69,recall,0.56204,inside_footprint,_v20260304
0.7,recall,0.55403,inside_footprint,_v20260304
0.71,recall,0.54592,inside_footprint,_v20260304
0.72,recall,0.53784,inside_footprint,_v20260304
0.73,recall,0.52964,inside_footprint,_v20260304
0.74,recall,0.52134,inside_footprint,_v20260304
0.75,recall,0.51291,inside_footprint,_v20260304
0.76,recall,0.50411,inside_footprint,_v20260304
0.77,recall,0.49474,inside_footprint,_v20260304
0.78,recall,0.48572,inside_footprint,_v20260304
0.79,recall,0.47607,inside_footprint,_v20260304
0.8,recall,0.46601,inside_footprint,_v20260304
0.81,recall,0.45568,inside_footprint,_v20260304
0.82,recall,0.44496,inside_footprint,_v20260304
0.83,recall,0.43409,inside_footprint,_v20260304
0.84,recall,0.42264,inside_footprint,_v20260304
0.85,recall,0.41103,inside_footprint,_v20260304
0.86,recall,0.3989,inside_footprint,_v20260304
0.87,recall,0.38575,inside_footprint,_v20260304
0.88,recall,0.3722,inside_footprint,_v20260304
0.89,recall,0.35821,inside_footprint,_v20260304
0.9,recall,0.34319,inside_footprint,_v20260304
0.91,recall,0.32656,inside_footprint,_v20260304
0.92,recall,0.30936,inside_footprint,_v20260304
0.93,recall,0.28948,inside_footprint,_v20260304
0.94,recall,0.26744,inside_footprint,_v20260304
0.95,recall,0.24242,inside_footprint,_v20260304
0.96,recall,0.21319,inside_footprint,_v20260304
0.97,recall,0.17637,inside_footprint,_v20260304
0.98,recall,0.12767,inside_footprint,_v20260304
0.99,recall,0.06089,inside_footprint,_v20260304
0.01,precision,0.30398,inside_footprint,_v20260304
0.02,precision,0.3465,inside_footprint,_v20260304
0.03,precision,0.37661,inside_footprint,_v20260304
0.04,precision,0.40111,inside_footprint,_v20260304
0.05,precision,0.42214,inside_footprint,_v20260304
0.06,precision,0.44075,inside_footprint,_v20260304
0.07,precision,0.45777,inside_footprint,_v20260304
0.08,precision,0.47346,inside_footprint,_v20260304
0.09,precision,0.48813,inside_footprint,_v20260304
0.1,precision,0.50197,inside_footprint,_v20260304
0.11,precision,0.51532,inside_footprint,_v20260304
0.12,precision,0.528,inside_footprint,_v20260304
0.13,precision,0.5402,inside_footprint,_v20260304
0.14,precision,0.55193,inside_footprint,_v20260304
0.15,precision,0.563,inside_footprint,_v20260304
0.16,precision,0.57416,inside_footprint,_v20260304
0.17,precision,0.58473,inside_footprint,_v20260304
0.18,precision,0.59471,inside_footprint,_v20260304
0.19,precision,0.60446,inside_footprint,_v20260304
0.2,precision,0.61412,inside_footprint,_v20260304
0.21,precision,0.62344,inside_footprint,_v20260304
0.22,precision,0.63267,inside_footprint,_v20260304
0.23,precision,0.6418,inside_footprint,_v20260304
0.24,precision,0.6504,inside_footprint,_v20260304
0.25,precision,0.65901,inside_footprint,_v20260304
0.26,precision,0.66747,inside_footprint,_v20260304
0.27,precision,0.67588,inside_footprint,_v20260304
0.28,precision,0.68379,inside_footprint,_v20260304
0.29,precision,0.69165,inside_footprint,_v20260304
0.3,precision,0.69921,inside_footprint,_v20260304
0.31,precision,0.70649,inside_footprint,_v20260304
0.32,precision,0.71394,inside_footprint,_v20260304
0.33,precision,0.72106,inside_footprint,_v20260304
0.34,precision,0.72833,inside_footprint,_v20260304
0.35,precision,0.73511,inside_footprint,_v20260304
0.36,precision,0.74185,inside_footprint,_v20260304
0.37,precision,0.74869,inside_footprint,_v20260304
0.38,precision,0.75509,inside_footprint,_v20260304
0.39,precision,0.76155,inside_footprint,_v20260304
0.4,precision,0.76787,inside_footprint,_v20260304
0.41,precision,0.77388,inside_footprint,_v20260304
0.42,precision,0.77973,inside_footprint,_v20260304
0.43,precision,0.786,inside_footprint,_v20260304
0.44,precision,0.79202,inside_footprint,_v20260304
0.45,precision,0.79765,inside_footprint,_v20260304
0.46,precision,0.80337,inside_footprint,_v20260304
0.47,precision,0.80889,inside_footprint,_v20260304
0.48,precision,0.81426,inside_footprint,_v20260304
0.49,precision,0.81966,inside_footprint,_v20260304
0.5,precision,0.82499,inside_footprint,_v20260304
0.51,precision,0.83,inside_footprint,_v20260304
0.52,precision,0.83514,inside_footprint,_v20260304
0.53,precision,0.84005,inside_footprint,_v20260304
0.54,precision,0.84492,inside_footprint,_v20260304
0.55,precision,0.84989,inside_footprint,_v20260304
0.56,precision,0.85488,inside_footprint,_v20260304
0.57,precision,0.85972,inside_footprint,_v20260304
