port_country_iso3,vessel_class,year,emissions_co2_mt,n_unique_port_vists
NOR,other_seines,2020,64278.44722580649,8746
NOR,other_seines,2022,66671.69078317798,9956
USA,other_purse_seines,2024,8356.415891044106,743
USA,trollers,2020,27339.13002930753,1880
GBR,other_seines,2024,1855.9909223964114,238
USA,trollers,2019,15647.829307322538,2133
GRD,trollers,2020,10.492617895723257,4
ESP,other_purse_seines,2019,1144.7371463011862,1937
USA,trollers,2022,22204.297384638983,1905
USA,other_purse_seines,2021,6841.20570005821,680
USA,other_purse_seines,2018,6212.650201553017,536
ESP,other_purse_seines,2020,1170.905104588008,2146
FRA,trollers,2023,226.40498749769304,226
ESP,trollers,2024,204.86834005825312,261
CAN,trollers,2021,9506.59189463954,1336
DNK,trollers,2021,361.54940937907014,265
PRT,other_purse_seines,2017,260.5490587622993,242
ISL,other_seines,2019,7070.406685672065,868
USA,other_purse_seines,2022,6220.118911532594,649
NOR,trollers,2021,250.138921483868,158
ESP,trollers,2022,137.63490168322053,175
DNK,trollers,2018,351.68537509113503,345
NOR,trollers,2020,231.38479787532862,75
FRA,trollers,2021,117.7169138175374,107
ESH,fish_factory,2017,352.9829001116631,24
ESP,fish_factory,2019,1294.8685722614807,24
ISL,fish_factory,2022,59.08820476864321,8
TWN,reefer,2022,14.593306857294408,4
JPN,driftnets,2022,282.8581859338158,28
GBR,other_seines,2017,196.7934948396037,38
USA,fish_factory,2023,609.6906968084153,6
SWE,trollers,2019,96.1990968369513,75
FRA,other_seines,2022,1562.137413321947,102
USA,fish_factory,2019,6946.60196376699,38
USA,fish_factory,2017,3375.1060799678835,41
SWE,other_seines,2019,21.97363893281132,10
MEX,trollers,2018,32.19965263825076,66
SWE,trollers,2017,139.19859162133613,87
BRA,trollers,2022,4.646265002386368,6
GIN,fish_factory,2024,2320.9179462413026,26
DNK,trollers,2020,388.09058580081177,252
GBR,driftnets,2020,1.423209695334636,5
NOR,fish_factory,2019,223.1081956982771,35
VCT,trollers,2024,0.3036702974783816,2
COL,trollers,2024,10.386139929313073,13
USA,fish_factory,2018,1399.21994661028,29
CRI,trollers,2017,0.3670294155913856,1
GBR,other_seines,2022,1443.2911940414904,156
JPN,fish_factory,2018,36.79844159291128,3
GIB,other_purse_seines,2020,1.998630436653316,6
CHN,trollers,2024,10.82129485608516,6
CHN,driftnets,2020,450.1327269612644,6
ESP,fish_factory,2020,585.2856351984017,11
SWE,other_seines,2023,6.161789404385823,2
DNK,other_seines,2022,1006.4612229038361,140
ISL,other_seines,2020,5642.446098593181,865
