fishing,length_size_class_percentile,min_length_m,average_length_m,max_length_m,sd_length_m,iqr_upper_length_m,median_length_m,iqr_lower_length_m,source
FALSE,1,5.8,16.094111019926732,19.039974000000015,1.839570646282025,17.59693999999996,16.256119999999978,14.925940000000029,ais
FALSE,1,2.4399999999999915,12.072394942022656,19.030000000000175,4.271910876721665,15.949999999999704,12.079999999999787,8.329999999999867,s1
FALSE,2,19.04011999999998,22.763359651213182,27.331853999999993,2.6369880765251854,25.204304000000015,22.632316000000003,20.17731400000002,ais
FALSE,2,19.040000000000177,23.311715834780497,27.33181,2.2022298909125366,25.070116,23.2974224,21.710000000000594,s1
FALSE,3,27.331955999999987,33.84973566175502,41.077808000000005,3.876724578736762,37.05723799999998,33.527839999999976,30.566268,ais
FALSE,3,27.331858,33.739696130304374,41.0778046,4.031326119434223,37.21864,33.499878,30.1502037,s1
FALSE,4,41.07797599999995,46.61607181383669,55.47769600000003,4.302789946358865,50.20235999999992,45.446831999999944,42.70850400000002,ais
FALSE,4,41.07784,48.50078754104678,55.47775,4.167897642239672,52.1429367,48.604523,44.9127502,s1
FALSE,5,55.47812399999996,60.83589537403261,67.76586599999987,3.346427693290391,63.34389800000004,60.504428000000004,58.00380400000013,ais
FALSE,5,55.477955,61.68662214425776,67.7659607,3.535097113523728,64.74789399999999,61.7270203,58.6391678,s1
FALSE,6,67.76662,73.63600014936152,80.37713799999999,3.619583858419502,76.63703600000002,73.43253800000005,70.48679999999996,ais
FALSE,6,67.76598,73.95794441268251,80.3773727,3.6278898026472324,77.08113861083984,73.89461999999999,70.81255999999999,s1
FALSE,7,80.37844399999986,88.80819501708635,96.82885800000003,4.681807637978899,92.8316059999999,88.99364000000016,84.74891199999988,ais
FALSE,7,80.3774,87.9855148372853,96.8291,4.714218174443214,91.941795,87.68434,83.86883544921875,s1
FALSE,8,96.82962800000008,107.86387521010082,124.29039999999995,7.63651287008275,113.89100999999998,106.54860599999996,101.2939880000001,ais
FALSE,8,96.82916,109.37938935938399,124.293076,7.9076886205060894,116.03850600000001,108.788246,102.423828,s1
FALSE,9,124.29407399999998,148.4464238881004,175.8281619999997,15.256281190312322,161.4471439999999,147.54218400000008,134.83,ais
FALSE,9,124.293198,146.69441259158475,175.82811,14.944334788212185,159.15633,144.63773999999998,133.612,s1
FALSE,10,175.83070200000014,230.04103797150736,419.9,44.45400999164544,259.47340399999973,220.5431299999999,191.67735200000013,ais
FALSE,10,175.8286,236.48837167813923,453.10022,51.244275788411926,271.8145446777344,221.14326,193.4081,s1
TRUE,1,5,5.666666666666667,6.2,0.6110100926607788,6.2,5.8,5,ais
TRUE,1,1.1700000000000002,5.380107636396113,6.549999999999904,0.8075825828793761,6.049999999999915,5.499999999999926,4.829999999999941,s1
TRUE,2,6.7,7.763157894736842,8.5,0.5194886149403388,8.2,7.9,7.4,ais
TRUE,2,6.559999999999904,7.549128981971006,8.589999999999861,0.5851930531656064,8.049999999999873,7.539999999999883,7.0399999999998935,s1
TRUE,3,8.6,10.42504296381579,11.299599999999996,0.5887416742457428,10.917440000000017,10.501800000000015,10,ais
TRUE,3,8.599999999999861,9.869136993706944,11.289999999999804,0.7796488903863602,10.52999999999982,9.829999999999835,9.189999999999849,s1
TRUE,4,11.3,13.20640201578789,14.64997999999999,0.9209931523341146,13.996860000000014,13.304460000000002,12.494159999999994,ais
TRUE,4,11.299999999999804,12.956731734342753,14.639999999999732,0.9734045345963914,13.79999999999975,12.949999999999768,12.099999999999786,s1
TRUE,5,14.650000000000011,16.287404801011906,17.789959999999972,0.8997928068815257,17.068639999999995,16.33188000000002,15.516139999999984,ais
TRUE,5,14.649999999999732,16.246251836453787,17.77999999999998,0.9057220186144297,17.029999999999863,16.259999999999742,15.469999999999715,s1
TRUE,6,17.790046000000004,19.418069292421396,20.709856000000002,0.8687838600487086,20.195479999999986,19.53532599999997,18.669576000000028,ais
TRUE,6,17.78999999999998,19.246526969853534,20.700000000000436,0.8405516264417559,19.970000000000322,19.25000000000021,18.520000000000095,s1
TRUE,7,20.710259999999987,21.894762989649116,22.99863199999996,0.6410681186846776,22.433919999999965,21.915759999999985,21.350159999999992,ais
TRUE,7,20.710000000000438,21.991750976863596,22.998739999999998,0.6511738315829763,22.533507999999998,22.10845,21.450000000000554,s1
TRUE,8,22.99885599999998,24.231751485089752,25.538839999999976,0.7331605891804097,24.860439999999997,24.21184000000004,23.598775999999965,ais
TRUE,8,22.998743,24.15245636798035,25.5388641,0.7280112432277244,24.760883,24.094532,23.51462,s1
TRUE,9,25.538894000000017,27.796598808645964,31.123050000000003,1.5767710168565225,29.034244000000026,27.542640000000013,26.42019599999995,ais
TRUE,9,25.5388699,27.85373887738608,31.1229954,1.5790824096388374,29.1153011,27.6253395,26.472867965698242,s1
TRUE,10,31.123136000000045,45.91600749192576,302.6,15.972343045636551,49.84306799999996,40.67145399999999,35.31817999999995,ais
TRUE,10,31.123056,42.37473334914686,453.8493,11.86102551249918,46.831406,38.49460220336914,33.986576,s1
