fishing,length_decile,month,n_s1_detections,n_s1_detections_unmatched,decile_min_m,decile_max_m
false,1,2017-01-01 00:00:00,5733,4158,5.009999999999937,49.8269653
false,2,2017-01-01 00:00:00,8618,3163,49.82698059082031,70.19505
false,3,2017-01-01 00:00:00,10359,2913,70.1950684,85.2781372
false,4,2017-01-01 00:00:00,11537,2767,85.2781372,102.73096
false,5,2017-01-01 00:00:00,11963,2915,102.730965,124.4505844116211
false,6,2017-01-01 00:00:00,11881,2652,124.4506,148.219666
false,7,2017-01-01 00:00:00,10892,2196,148.219666,173.04274
false,8,2017-01-01 00:00:00,9953,1902,173.04277,196.13412
false,9,2017-01-01 00:00:00,8789,1595,196.1341552734375,239.60664
false,10,2017-01-01 00:00:00,7344,1482,239.60664,453.10022
true,1,2017-01-01 00:00:00,6393,5227,5.009999999999937,7.759999999999878
true,2,2017-01-01 00:00:00,7358,5728,7.759999999999878,10.819999999999814
true,3,2017-01-01 00:00:00,8394,6382,10.819999999999814,14.75999999999973
true,4,2017-01-01 00:00:00,9960,7379,14.75999999999973,18.280000000000058
true,5,2017-01-01 00:00:00,11059,7888,18.280000000000058,21.410000000000547
true,6,2017-01-01 00:00:00,12246,8308,21.410000000000547,23.4741764
true,7,2017-01-01 00:00:00,13107,8468,23.474182,26.025414
true,8,2017-01-01 00:00:00,13789,8417,26.025414,30.572640000000003
true,9,2017-01-01 00:00:00,14013,7867,30.572645,41.5105934
true,10,2017-01-01 00:00:00,14728,5063,41.5106,453.8493
false,1,2017-02-01 00:00:00,8832,6904,5.009999999999937,49.8269653
false,2,2017-02-01 00:00:00,9853,3968,49.82698059082031,70.19505
false,3,2017-02-01 00:00:00,11266,3421,70.1950684,85.2781372
false,4,2017-02-01 00:00:00,11929,3256,85.2781372,102.73096
false,5,2017-02-01 00:00:00,12266,3120,102.730965,124.4505844116211
false,6,2017-02-01 00:00:00,12137,2878,124.4506,148.219666
false,7,2017-02-01 00:00:00,11190,2196,148.219666,173.04274
false,8,2017-02-01 00:00:00,10897,1997,173.04277,196.13412
false,9,2017-02-01 00:00:00,10003,1832,196.1341552734375,239.60664
false,10,2017-02-01 00:00:00,8503,1607,239.60664,453.10022
true,1,2017-02-01 00:00:00,7915,6890,5.009999999999937,7.759999999999878
true,2,2017-02-01 00:00:00,8915,7424,7.759999999999878,10.819999999999814
true,3,2017-02-01 00:00:00,10319,8414,10.819999999999814,14.75999999999973
true,4,2017-02-01 00:00:00,11880,9235,14.75999999999973,18.280000000000058
true,5,2017-02-01 00:00:00,13388,10104,18.280000000000058,21.410000000000547
true,6,2017-02-01 00:00:00,14461,10431,21.410000000000547,23.4741764
true,7,2017-02-01 00:00:00,15460,10652,23.474182,26.025414
true,8,2017-02-01 00:00:00,15888,10288,26.025414,30.572640000000003
true,9,2017-02-01 00:00:00,16291,9471,30.572645,41.5105934
true,10,2017-02-01 00:00:00,16726,6168,41.5106,453.8493
false,1,2017-03-01 00:00:00,13855,11074,5.009999999999937,49.8269653
false,2,2017-03-01 00:00:00,13072,5602,49.82698059082031,70.19505
false,3,2017-03-01 00:00:00,13919,4547,70.1950684,85.2781372
false,4,2017-03-01 00:00:00,14990,4269,85.2781372,102.73096
false,5,2017-03-01 00:00:00,15456,4005,102.730965,124.4505844116211
false,6,2017-03-01 00:00:00,15727,3749,124.4506,148.219666
false,7,2017-03-01 00:00:00,14149,2784,148.219666,173.04274
false,8,2017-03-01 00:00:00,13491,2473,173.04277,196.13412
false,9,2017-03-01 00:00:00,12251,2222,196.1341552734375,239.60664
false,10,2017-03-01 00:00:00,10592,1983,239.60664,453.10022
true,1,2017-03-01 00:00:00,13435,11567,5.009999999999937,7.759999999999878
true,2,2017-03-01 00:00:00,14337,11774,7.759999999999878,10.819999999999814
true,3,2017-03-01 00:00:00,16182,12895,10.819999999999814,14.75999999999973
true,4,2017-03-01 00:00:00,18034,13939,14.75999999999973,18.280000000000058
true,5,2017-03-01 00:00:00,19821,14641,18.280000000000058,21.410000000000547
true,6,2017-03-01 00:00:00,20894,14830,21.410000000000547,23.4741764
true,7,2017-03-01 00:00:00,21282,14437,23.474182,26.025414
true,8,2017-03-01 00:00:00,20399,12924,26.025414,30.572640000000003
true,9,2017-03-01 00:00:00,19446,11037,30.572645,41.5105934
true,10,2017-03-01 00:00:00,18997,6741,41.5106,453.8493
false,1,2017-04-01 00:00:00,14241,11368,5.009999999999937,49.8269653
false,2,2017-04-01 00:00:00,13138,5657,49.82698059082031,70.19505
false,3,2017-04-01 00:00:00,13879,4424,70.1950684,85.2781372
false,4,2017-04-01 00:00:00,15319,4193,85.2781372,102.73096
false,5,2017-04-01 00:00:00,15790,3976,102.730965,124.4505844116211
false,6,2017-04-01 00:00:00,16186,3688,124.4506,148.219666
false,7,2017-04-01 00:00:00,13979,2776,148.219666,173.04274
false,8,2017-04-01 00:00:00,13228,2303,173.04277,196.13412
false,9,2017-04-01 00:00:00,12058,2133,196.1341552734375,239.60664
false,10,2017-04-01 00:00:00,10811,2003,239.60664,453.10022
true,1,2017-04-01 00:00:00,15738,13488,5.009999999999937,7.759999999999878
true,2,2017-04-01 00:00:00,16960,13968,7.759999999999878,10.819999999999814
true,3,2017-04-01 00:00:00,18901,14914,10.819999999999814,14.75999999999973
true,4,2017-04-01 00:00:00,20586,15841,14.75999999999973,18.280000000000058
true,5,2017-04-01 00:00:00,22202,16427,18.280000000000058,21.410000000000547
true,6,2017-04-01 00:00:00,22927,16156,21.410000000000547,23.4741764
true,7,2017-04-01 00:00:00,22142,14567,23.474182,26.025414
true,8,2017-04-01 00:00:00,20079,12170,26.025414,30.572640000000003
true,9,2017-04-01 00:00:00,18503,9978,30.572645,41.5105934
true,10,2017-04-01 00:00:00,18342,6336,41.5106,453.8493
false,1,2017-05-01 00:00:00,14433,11271,5.009999999999937,49.8269653
false,2,2017-05-01 00:00:00,13937,5802,49.82698059082031,70.19505
false,3,2017-05-01 00:00:00,14915,4738,70.1950684,85.2781372
false,4,2017-05-01 00:00:00,16467,4463,85.2781372,102.73096
false,5,2017-05-01 00:00:00,17754,4404,102.730965,124.4505844116211
false,6,2017-05-01 00:00:00,17736,3887,124.4506,148.219666
false,7,2017-05-01 00:00:00,15535,2858,148.219666,173.04274
false,8,2017-05-01 00:00:00,14513,2368,173.04277,196.13412
false,9,2017-05-01 00:00:00,13580,2248,196.1341552734375,239.60664
false,10,2017-05-01 00:00:00,11502,2015,239.60664,453.10022
true,1,2017-05-01 00:00:00,16018,13879,5.009999999999937,7.759999999999878
true,2,2017-05-01 00:00:00,16694,13869,7.759999999999878,10.819999999999814
true,3,2017-05-01 00:00:00,18187,14554,10.819999999999814,14.75999999999973
true,4,2017-05-01 00:00:00,20037,15590,14.75999999999973,18.280000000000058
true,5,2017-05-01 00:00:00,21117,15610,18.280000000000058,21.410000000000547
true,6,2017-05-01 00:00:00,21465,15109,21.410000000000547,23.4741764
true,7,2017-05-01 00:00:00,20355,13290,23.474182,26.025414
true,8,2017-05-01 00:00:00,18685,10875,26.025414,30.572640000000003
true,9,2017-05-01 00:00:00,17549,8788,30.572645,41.5105934
true,10,2017-05-01 00:00:00,18354,6129,41.5106,453.8493
false,1,2017-06-01 00:00:00,12461,9291,5.009999999999937,49.8269653
false,2,2017-06-01 00:00:00,14099,5741,49.82698059082031,70.19505
false,3,2017-06-01 00:00:00,15065,4612,70.1950684,85.2781372
false,4,2017-06-01 00:00:00,16567,4232,85.2781372,102.73096
false,5,2017-06-01 00:00:00,17331,4183,102.730965,124.4505844116211
false,6,2017-06-01 00:00:00,17467,3793,124.4506,148.219666
false,7,2017-06-01 00:00:00,14890,2765,148.219666,173.04274
false,8,2017-06-01 00:00:00,14516,2398,173.04277,196.13412
false,9,2017-06-01 00:00:00,13704,2207,196.1341552734375,239.60664
false,10,2017-06-01 00:00:00,11704,2009,239.60664,453.10022
true,1,2017-06-01 00:00:00,13992,11890,5.009999999999937,7.759999999999878
true,2,2017-06-01 00:00:00,15309,12476,7.759999999999878,10.819999999999814
true,3,2017-06-01 00:00:00,16631,13156,10.819999999999814,14.75999999999973
true,4,2017-06-01 00:00:00,18171,13931,14.75999999999973,18.280000000000058
true,5,2017-06-01 00:00:00,19744,14510,18.280000000000058,21.410000000000547
true,6,2017-06-01 00:00:00,20700,14532,21.410000000000547,23.4741764
true,7,2017-06-01 00:00:00,19874,12909,23.474182,26.025414
true,8,2017-06-01 00:00:00,18862,11091,26.025414,30.572640000000003
true,9,2017-06-01 00:00:00,18155,9120,30.572645,41.5105934
true,10,2017-06-01 00:00:00,19732,6488,41.5106,453.8493
false,1,2017-07-01 00:00:00,13062,9553,5.009999999999937,49.8269653
false,2,2017-07-01 00:00:00,13722,5341,49.82698059082031,70.19505
false,3,2017-07-01 00:00:00,14888,4488,70.1950684,85.2781372
false,4,2017-07-01 00:00:00,16472,4178,85.2781372,102.73096
false,5,2017-07-01 00:00:00,17650,4217,102.730965,124.4505844116211
false,6,2017-07-01 00:00:00,17972,3956,124.4506,148.219666
false,7,2017-07-01 00:00:00,15116,2751,148.219666,173.04274
false,8,2017-07-01 00:00:00,14741,2510,173.04277,196.13412
false,9,2017-07-01 00:00:00,13447,2087,196.1341552734375,239.60664
false,10,2017-07-01 00:00:00,11857,2064,239.60664,453.10022
true,1,2017-07-01 00:00:00,14191,11818,5.009999999999937,7.759999999999878
true,2,2017-07-01 00:00:00,15218,12019,7.759999999999878,10.819999999999814
true,3,2017-07-01 00:00:00,17321,13227,10.819999999999814,14.75999999999973
true,4,2017-07-01 00:00:00,19245,14271,14.75999999999973,18.280000000000058
true,5,2017-07-01 00:00:00,20723,14675,18.280000000000058,21.410000000000547
true,6,2017-07-01 00:00:00,21844,14973,21.410000000000547,23.4741764
true,7,2017-07-01 00:00:00,21349,13793,23.474182,26.025414
true,8,2017-07-01 00:00:00,20237,11842,26.025414,30.572640000000003
true,9,2017-07-01 00:00:00,18232,9143,30.572645,41.5105934
true,10,2017-07-01 00:00:00,19251,6328,41.5106,453.8493
false,1,2017-08-01 00:00:00,15053,11350,5.009999999999937,49.8269653
false,2,2017-08-01 00:00:00,14894,6133,49.82698059082031,70.19505
false,3,2017-08-01 00:00:00,15485,4950,70.1950684,85.2781372
false,4,2017-08-01 00:00:00,17119,4486,85.2781372,102.73096
false,5,2017-08-01 00:00:00,17939,4451,102.730965,124.4505844116211
false,6,2017-08-01 00:00:00,18111,3992,124.4506,148.219666
false,7,2017-08-01 00:00:00,15649,2909,148.219666,173.04274
false,8,2017-08-01 00:00:00,15149,2498,173.04277,196.13412
false,9,2017-08-01 00:00:00,14080,2315,196.1341552734375,239.60664
false,10,2017-08-01 00:00:00,12131,2183,239.60664,453.10022
true,1,2017-08-01 00:00:00,16654,13952,5.009999999999937,7.759999999999878
true,2,2017-08-01 00:00:00,18015,14297,7.759999999999878,10.819999999999814
true,3,2017-08-01 00:00:00,20434,15617,10.819999999999814,14.75999999999973
true,4,2017-08-01 00:00:00,22821,16896,14.75999999999973,18.280000000000058
true,5,2017-08-01 00:00:00,24929,17679,18.280000000000058,21.410000000000547
true,6,2017-08-01 00:00:00,26151,17726,21.410000000000547,23.4741764
true,7,2017-08-01 00:00:00,25943,16600,23.474182,26.025414
true,8,2017-08-01 00:00:00,24430,14465,26.025414,30.572640000000003
true,9,2017-08-01 00:00:00,21895,11324,30.572645,41.5105934
true,10,2017-08-01 00:00:00,20346,6979,41.5106,453.8493
false,1,2017-09-01 00:00:00,15453,11980,5.009999999999937,49.8269653
false,2,2017-09-01 00:00:00,14720,6001,49.82698059082031,70.19505
false,3,2017-09-01 00:00:00,15680,4925,70.1950684,85.2781372
false,4,2017-09-01 00:00:00,16689,4537,85.2781372,102.73096
false,5,2017-09-01 00:00:00,17732,4353,102.730965,124.4505844116211
false,6,2017-09-01 00:00:00,17359,3798,124.4506,148.219666
false,7,2017-09-01 00:00:00,15246,2764,148.219666,173.04274
false,8,2017-09-01 00:00:00,14754,2518,173.04277,196.13412
false,9,2017-09-01 00:00:00,13594,2188,196.1341552734375,239.60664
false,10,2017-09-01 00:00:00,11590,1996,239.60664,453.10022
true,1,2017-09-01 00:00:00,17014,14321,5.009999999999937,7.759999999999878
true,2,2017-09-01 00:00:00,18605,14777,7.759999999999878,10.819999999999814
true,3,2017-09-01 00:00:00,21405,16415,10.819999999999814,14.75999999999973
true,4,2017-09-01 00:00:00,24309,17996,14.75999999999973,18.280000000000058
true,5,2017-09-01 00:00:00,27419,19341,18.280000000000058,21.410000000000547
true,6,2017-09-01 00:00:00,29183,19826,21.410000000000547,23.4741764
true,7,2017-09-01 00:00:00,29606,18777,23.474182,26.025414
true,8,2017-09-01 00:00:00,27633,16421,26.025414,30.572640000000003
true,9,2017-09-01 00:00:00,23277,12227,30.572645,41.5105934
true,10,2017-09-01 00:00:00,21475,7401,41.5106,453.8493
false,1,2017-10-01 00:00:00,15553,12147,5.009999999999937,49.8269653
false,2,2017-10-01 00:00:00,15454,6222,49.82698059082031,70.19505
false,3,2017-10-01 00:00:00,16022,5062,70.1950684,85.2781372
false,4,2017-10-01 00:00:00,16907,4554,85.2781372,102.73096
false,5,2017-10-01 00:00:00,17256,4425,102.730965,124.4505844116211
false,6,2017-10-01 00:00:00,17299,3871,124.4506,148.219666
false,7,2017-10-01 00:00:00,15357,2868,148.219666,173.04274
false,8,2017-10-01 00:00:00,14890,2519,173.04277,196.13412
false,9,2017-10-01 00:00:00,14042,2400,196.1341552734375,239.60664
false,10,2017-10-01 00:00:00,12094,2172,239.60664,453.10022
true,1,2017-10-01 00:00:00,15998,13797,5.009999999999937,7.759999999999878
true,2,2017-10-01 00:00:00,17707,14534,7.759999999999878,10.819999999999814
true,3,2017-10-01 00:00:00,20206,15942,10.819999999999814,14.75999999999973
true,4,2017-10-01 00:00:00,22573,17188,14.75999999999973,18.280000000000058
true,5,2017-10-01 00:00:00,24575,17908,18.280000000000058,21.410000000000547
true,6,2017-10-01 00:00:00,26018,17989,21.410000000000547,23.4741764
true,7,2017-10-01 00:00:00,26288,16983,23.474182,26.025414
true,8,2017-10-01 00:00:00,24649,14740,26.025414,30.572640000000003
true,9,2017-10-01 00:00:00,21969,11525,30.572645,41.5105934
true,10,2017-10-01 00:00:00,21893,7261,41.5106,453.8493
false,1,2017-11-01 00:00:00,15822,12484,5.009999999999937,49.8269653
false,2,2017-11-01 00:00:00,15384,6610,49.82698059082031,70.19505
false,3,2017-11-01 00:00:00,16067,5223,70.1950684,85.2781372
false,4,2017-11-01 00:00:00,17006,4883,85.2781372,102.73096
false,5,2017-11-01 00:00:00,17280,4681,102.730965,124.4505844116211
false,6,2017-11-01 00:00:00,17245,4073,124.4506,148.219666
false,7,2017-11-01 00:00:00,15723,3087,148.219666,173.04274
false,8,2017-11-01 00:00:00,14968,2694,173.04277,196.13412
