fishing,lon_bin,lat_bin,avg_neighbor_ratio,within_footprint
TRUE,171,47,1.3677556332469352,FALSE
FALSE,-41,53,0.0933288918697013,FALSE
TRUE,-23,55,0.41475676182936955,FALSE
FALSE,-177,55,0.14580366572093204,FALSE
TRUE,-23,56,0.3690002541427926,FALSE
TRUE,-180,58,0.7726568457905503,FALSE
FALSE,-60,65,0.10295355856990905,FALSE
FALSE,-57,66,0.10309592455440293,FALSE
FALSE,-51,67,0.1053271139319644,FALSE
FALSE,177,55,0.1642482554454692,FALSE
TRUE,46,68,0.2417322200875029,FALSE
TRUE,-69,68,0.2271139992175045,FALSE
TRUE,46,48,1.8394577821464813,FALSE
FALSE,-138,54,0.20882615650447406,FALSE
FALSE,-31,57,0.10960331382820394,FALSE
TRUE,-180,57,0.7757390097400666,FALSE
FALSE,-80,66,0.11543500644808109,FALSE
TRUE,-48,46,0.5278365603956087,FALSE
FALSE,164,50,0.28667122968887576,FALSE
TRUE,-155,52,0.628690861931956,FALSE
TRUE,-133,41,1.3912207396347387,FALSE
FALSE,-180,41,0.20826169638820288,FALSE
TRUE,-148,42,0.803315169616336,FALSE
FALSE,-30,-74,0.1815571325382799,FALSE
TRUE,-78,-74,0.7760202934696686,FALSE
FALSE,-18,-72,0.176383943357428,FALSE
FALSE,-160,-71,0.25033643280630186,FALSE
FALSE,-108,-70,0.19149924569441898,FALSE
FALSE,-162,40,0.2497374143475404,FALSE
TRUE,-144,40,1.1524621472558065,FALSE
TRUE,170,41,1.4447457547733857,FALSE
TRUE,-39,42,0.35229369570702423,FALSE
TRUE,-84,-72,0.8228308175629437,FALSE
FALSE,-36,-72,0.1915670840701226,FALSE
TRUE,167,41,1.6141487758985729,FALSE
FALSE,168,-72,0.24515087598773674,FALSE
TRUE,-123,-73,0.8468199226431817,FALSE
TRUE,-30,-76,0.5517861495901336,FALSE
FALSE,-147,-73,0.225048596318201,FALSE
TRUE,149,52,2.012700294202764,FALSE
FALSE,-160,53,0.16985455680630854,FALSE
FALSE,-145,53,0.18981376949892098,FALSE
FALSE,-174,53,0.15203507357943608,FALSE
FALSE,-85,58,0.14360228361947924,FALSE
FALSE,-53,59,0.1035805560710162,FALSE
TRUE,-69,61,0.7195881090684063,FALSE
TRUE,49,43,2.9727775904575764,FALSE
TRUE,48,43,2.8585283703613293,FALSE
TRUE,-153,44,0.5973571847608565,FALSE
TRUE,147,46,2.3457019415337803,FALSE
TRUE,164,46,1.7023634133287229,FALSE
TRUE,-39,48,0.3415289158486279,FALSE
FALSE,178,56,0.15687868982754444,FALSE
FALSE,-176,58,0.13973692215394712,FALSE
FALSE,-59,58,0.11590075523640186,FALSE
TRUE,87,66,0.17827578149370557,FALSE
FALSE,-147,46,0.18839636494720913,FALSE
FALSE,-46,50,0.09982815202122475,FALSE
TRUE,170,55,1.34974430244168,FALSE
TRUE,-18,45,0.42832752838237326,FALSE
FALSE,-179,49,0.1655209759933579,FALSE
FALSE,-6,69,0.14106186491767497,FALSE
TRUE,-153,54,0.6332822500462885,FALSE
FALSE,-158,54,0.1717263450564085,FALSE
TRUE,-57,68,0.17494731362316535,FALSE
TRUE,-18,49,0.506370821538565,FALSE
FALSE,-163,-77,0.23825416856135606,FALSE
TRUE,-160,-76,0.6390150411749214,FALSE
FALSE,-35,-75,0.18303308086702696,FALSE
TRUE,-136,-73,0.6610909955463269,FALSE
TRUE,-104,-70,0.8697000572222948,FALSE
TRUE,165,-70,0.6448026845427857,FALSE
TRUE,65,69,0.20312149135269317,FALSE
TRUE,-95,-72,0.858640973857594,FALSE
TRUE,-5,-71,0.3764497025939847,FALSE
TRUE,171,-77,0.6461558238492268,FALSE
FALSE,-167,-70,0.2523238356413039,FALSE
FALSE,-146,44,0.1892493537059614,FALSE
FALSE,-32,42,0.11163245553822547,FALSE
TRUE,178,-77,0.649730043186956,FALSE
TRUE,-148,-75,0.6192514542166929,FALSE
FALSE,169,52,0.23574427001135523,FALSE
TRUE,150,53,1.9855344840071303,FALSE
FALSE,-22,53,0.1325536085763776,FALSE
TRUE,-55,59,0.49150078861107865,FALSE
TRUE,-91,60,0.8837977299125063,FALSE
TRUE,-88,60,0.9706710878819741,FALSE
FALSE,-67,61,0.11767379894025884,FALSE
TRUE,-33,65,0.12050002623169132,FALSE
FALSE,152,40,0.5040840150233175,FALSE
TRUE,-178,57,0.7456107879358366,FALSE
FALSE,-42,62,0.10299396040186781,FALSE
TRUE,-160,66,0.5888507404443422,FALSE
TRUE,-173,69,0.5515860134612509,FALSE
FALSE,-152,44,0.18518927160586662,FALSE
FALSE,-46,52,0.09796817839716918,FALSE
TRUE,-168,56,0.6012883271381222,FALSE
FALSE,-169,58,0.14422014329426056,FALSE
FALSE,-56,60,0.1057716306929225,FALSE
FALSE,48,41,0.5276758259692833,FALSE
FALSE,-158,43,0.20323425337474982,FALSE
FALSE,-29,-75,0.18022490989591694,FALSE
TRUE,-29,-74,0.545858736593354,FALSE
FALSE,-153,-74,0.2345533751716504,FALSE
FALSE,-113,-73,0.17592207019094339,FALSE
TRUE,-122,-71,0.8599802521903895,FALSE
FALSE,-38,41,0.1029057761418452,FALSE
FALSE,-48,42,0.12015759838497658,FALSE
TRUE,167,-78,0.6405956773706598,FALSE
TRUE,-138,-71,0.6354458118780509,FALSE
TRUE,-145,-71,0.626292209689439,FALSE
TRUE,-151,-71,0.6421157852112086,FALSE
TRUE,-156,-77,0.6304082367895085,FALSE
FALSE,166,-78,0.23941926516800127,FALSE
TRUE,24,-71,0.4508986810511038,FALSE
FALSE,-26,50,0.12361800207920381,FALSE
TRUE,-44,50,0.42525218589552216,FALSE
TRUE,-27,51,0.43868299955441575,FALSE
TRUE,-27,54,0.36025903619342986,FALSE
FALSE,-156,54,0.17233651243480747,FALSE
FALSE,169,54,0.21792610899551765,FALSE
FALSE,-170,55,0.15068941728806873,FALSE
FALSE,-50,63,0.1014642430278778,FALSE
FALSE,-174,68,0.12763147546142556,FALSE
TRUE,-139,69,0.5683988560254467,FALSE
TRUE,-45,51,0.44029827458905024,FALSE
FALSE,-143,54,0.19486396750164606,FALSE
TRUE,-162,65,0.6030979118181327,FALSE
FALSE,177,69,0.13263975651574691,FALSE
FALSE,-56,65,0.10252496631297293,FALSE
TRUE,-58,61,0.4785336361503563,FALSE
TRUE,-144,41,1.1084777215567405,FALSE
TRUE,-85,-74,0.8175479570040487,FALSE
TRUE,-124,-73,0.8426316705728024,FALSE
FALSE,-135,-71,0.18168553572887106,FALSE
FALSE,-111,-71,0.1835961868196398,FALSE
TRUE,-126,-70,0.8457793242660173,FALSE
TRUE,49,41,3.6657113819849108,FALSE
FALSE,-37,46,0.09536145207274138,FALSE
TRUE,173,46,1.2428672530893068,FALSE
FALSE,159,50,0.32442115339697003,FALSE
TRUE,-177,50,0.7143043085925354,FALSE
FALSE,-146,50,0.19065190573188825,FALSE
FALSE,-23,61,0.11398964919604164,FALSE
FALSE,-57,62,0.10399091867183263,FALSE
FALSE,-55,64,0.1021480376874321,FALSE
FALSE,-19,44,0.1505260545593318,FALSE
TRUE,49,45,2.3744133016256255,FALSE
FALSE,-157,51,0.17440663211623728,FALSE
TRUE,-152,53,0.6368948272355418,FALSE
FALSE,-38,58,0.10250058887563261,FALSE
FALSE,176,-77,0.24482371976382253,FALSE
FALSE,-23,-75,0.1775371102020406,FALSE
TRUE,-165,-74,0.6534604907814144,FALSE
TRUE,-13,-72,0.40500615697843884,FALSE
TRUE,-27,-71,0.5298470141753495,FALSE
TRUE,-138,-75,0.6382731348959899,FALSE
TRUE,-25,-70,0.512817759981171,FALSE
FALSE,174,-70,0.25224939583838807,FALSE
FALSE,-165,-79,0.2358996359656299,FALSE
TRUE,160,49,1.8573028629961277,FALSE
FALSE,-28,49,0.11671438988189423,FALSE
FALSE,-37,50,0.0940568325003275,FALSE
FALSE,-178,65,0.1310271179388195,FALSE
FALSE,-15,68,0.12272156696997062,FALSE
TRUE,-3,69,0.2589570881495979,FALSE
TRUE,-26,48,0.42261251297972585,FALSE
FALSE,-86,59,0.142532434464333,FALSE
TRUE,-38,61,0.12222534557895423,FALSE
TRUE,-34,65,0.1207418701015497,FALSE
TRUE,-30,66,0.11796348352686055,FALSE
FALSE,-53,66,0.10327245521025381,FALSE
TRUE,172,55,1.257413020046045,FALSE
TRUE,-135,44,1.1724317674229727,FALSE
TRUE,-34,54,0.22444472326367845,FALSE
FALSE,157,41,0.44061088570659973,FALSE
FALSE,-49,42,0.12254871227816418,FALSE
TRUE,-34,40,0.3282936358861415,FALSE
TRUE,-35,-71,0.5902672430619746,FALSE
TRUE,-27,-74,0.5348860538525281,FALSE
TRUE,177,-78,0.645392592052112,FALSE
TRUE,-176,-78,0.6465430094596765,FALSE
FALSE,-8,-71,0.17575588253351523,FALSE
FALSE,-173,-74,0.24612995328348694,FALSE
FALSE,-51,-77,0.17814019950713159,FALSE
TRUE,-159,-75,0.6407298984970923,FALSE
TRUE,-150,47,0.6458876247016281,FALSE
TRUE,162,51,1.7537031013997666,FALSE
TRUE,-35,54,0.21776830254584417,FALSE
FALSE,168,55,0.21520193169427382,FALSE
FALSE,-36,55,0.10065699551810037,FALSE
FALSE,-35,58,0.10601294731759643,FALSE
TRUE,-44,58,0.24133939189256906,FALSE
TRUE,-177,59,0.72507360015094,FALSE
FALSE,-60,61,0.1089823416718944,FALSE
FALSE,-37,64,0.10901925770697783,FALSE
TRUE,-91,65,0.7423815460678274,FALSE
FALSE,-13,68,0.12440973091386343,FALSE
TRUE,-136,42,1.2953340038857797,FALSE
TRUE,-34,46,0.3493033913890565,FALSE
TRUE,176,65,0.8172989169455341,FALSE
FALSE,160,50,0.31479168842033567,FALSE
FALSE,-151,52,0.17809004323975072,FALSE
TRUE,-165,69,0.5553843141235358,FALSE
FALSE,-2,66,0.1544583858118522,FALSE
TRUE,-175,50,0.6645659664343556,FALSE
TRUE,-146,50,0.7253900567721647,FALSE
TRUE,150,40,2.365566647727509,FALSE
FALSE,-18,40,0.1585463794273506,FALSE
TRUE,-50,40,0.4878075124717379,FALSE
FALSE,51,42,0.5133189349942168,FALSE
TRUE,-177,-79,0.6442322244844167,FALSE
TRUE,-25,-76,0.5290990451291212,FALSE
