month,n_s1_detections,n_s1_detections_unmatched,s1_scenes,s1_scene_area_km2
2017-01-01T00:00:00Z,208116,96470,5963,159536490.33583838
2017-02-01T00:00:00Z,238119,120256,6933,198455355.76579276
2017-03-01T00:00:00Z,320329,167493,8607,247143892.7707859
2017-04-01T00:00:00Z,335009,176366,8472,242519035.71622515
2017-05-01T00:00:00Z,338833,171747,9537,270113129.5776757
2017-06-01T00:00:00Z,328974,161334,9919,284450601.85941344
2017-07-01T00:00:00Z,336538,163234,10399,295621449.5799388
2017-08-01T00:00:00Z,377228,190802,10612,302746104.5371075
2017-09-01T00:00:00Z,392743,202562,10502,299332323.38082594
2017-10-01T00:00:00Z,376750,194107,10501,301245572.2579616
2017-11-01T00:00:00Z,366568,191919,10218,294396611.1545649
2017-12-01T00:00:00Z,315504,163008,9997,291806072.22187704
2018-01-01T00:00:00Z,302609,153443,9957,292216574.62388456
2018-02-01T00:00:00Z,268568,129931,8996,265370805.38773277
2018-03-01T00:00:00Z,338833,169886,9763,284923737.0702688
2018-04-01T00:00:00Z,359821,184922,9543,274261038.6650201
2018-05-01T00:00:00Z,352103,179056,9871,282446720.3185596
2018-06-01T00:00:00Z,310435,153221,9199,254449487.88266444
2018-07-01T00:00:00Z,337958,160928,9754,272423742.78440255
2018-08-01T00:00:00Z,367704,185715,10169,283891139.4293239
2018-09-01T00:00:00Z,407630,214381,10536,297807858.9572819
2018-10-01T00:00:00Z,414539,217911,10806,308036611.9062168
2018-11-01T00:00:00Z,391482,209494,10275,295930367.2512399
2018-12-01T00:00:00Z,333141,174119,10145,294618864.39742666
2019-01-01T00:00:00Z,321347,163810,10198,297923096.3234665
2019-02-01T00:00:00Z,287423,143193,8867,259480752.9643601
2019-03-01T00:00:00Z,387622,198124,10522,309268567.9247823
2019-04-01T00:00:00Z,382912,190662,10132,293055061.6875476
2019-05-01T00:00:00Z,364266,176244,10340,299148171.4590938
2019-06-01T00:00:00Z,355240,166644,10341,294410859.9540455
