month,emissions_co2_total_mt,emissions_ch4_total_mt,emissions_n2o_total_mt,emissions_nox_total_mt,emissions_sox_total_mt,emissions_co_total_mt,emissions_vocs_total_mt,emissions_pm2_5_total_mt,emissions_pm10_total_mt
2025-03-01,121753712.4477169,1602.6046851720207,6083.948654039802,1867886.2287971238,187097.22528017918,87943.93596741983,87814.59554045355,59906.082968454124,65115.307555276224
2023-02-01,100619379.8892415,1335.066199541892,5037.579051598944,1558595.8492765715,154229.32949437862,73145.45522755354,73196.04237829847,49692.11057440796,54013.16383305213
2021-01-01,97067431.90526778,1269.5828189357305,4864.218741888899,1518980.7646528787,148225.58341236145,69846.00798831024,70177.4742118185,47730.3045328204,51880.765953065624
2017-03-01,91180831.07858817,1237.5405845279518,4593.706094328545,1500062.4787734863,557501.0188545161,67795.31672099934,68556.87357660354,76637.86027890573,83302.0224757671
2024-03-01,118996699.25333673,1565.4325944087736,5947.813671747292,1835995.530548759,182670.35795716243,85975.40866201498,85961.77102805345,58612.96801907531,63709.747571603555
2025-09-01,130521135.37659527,1681.2341221038155,6493.1586618167175,1952412.9437854039,200861.3061306671,92584.98090212548,91716.78662281665,63244.33881358782,68743.84589998671
2018-01-01,91004283.80431229,1230.2687361522317,4584.164062052623,1492382.6765321929,554733.9618915322,67419.62552886533,68306.49843285035,76258.79754713399,82889.99755818909
2020-12-01,98447831.52141173,1290.4048175677872,4931.712581325079,1537475.6206145107,150546.79442079295,70925.16540652479,71154.13905172698,48413.70389831232,52623.5909646873
2019-01-01,93513019.97158654,1257.0946466901044,4701.801471581665,1517411.556724247,570456.3529478546,68909.89863094286,69652.55671976141,78119.15146262277,84912.12050372039
2019-07-01,104701753.7336166,1350.4135388357079,5216.366167969229,1616973.251835923,641341.5192065759,74395.4000098164,74459.60807562614,85998.33637661698,93476.45299675764
2019-02-01,85618657.03826948,1146.6713715038886,4300.317187694711,1386944.1670194701,522621.340490235,62907.11378536119,63701.442444808046,71453.87942274299,77667.26081515543
2019-12-01,98609567.77164872,1319.6084137758883,4955.08957231046,1581663.815451105,602174.5191515931,72344.56313230294,72873.85450174494,82225.5911096484,89375.64270266135
2025-08-01,136899164.75191703,1715.9158090981653,6778.112171983256,1992069.5529646466,210670.97381233276,94839.48552094,93573.8463879714,65017.43331752882,70671.12318687912
2023-05-01,114999992.2652823,1484.447721941213,5729.752805576785,1744417.3615743474,176551.9990099658,81762.60379265962,81575.9857988359,55861.22752574257,60718.72572189405
2022-05-01,111487670.20260422,1418.23349399287,5548.078629537464,1682241.7519021647,171053.99240193528,78347.77084916449,78119.77473797508,53728.45390544468,58400.4942215703
2025-05-01,127727193.21891516,1625.0732148345598,6343.427562844741,1892283.78528437,196395.7387752581,89613.62737000441,89036.53798851257,61324.59267150229,66657.16554815468
2018-04-01,94563023.23920795,1271.79961131664,4755.628245301082,1541391.1216292533,578934.025635878,69776.39972167392,70395.59855953066,79232.82490500409,86122.63577761318
2023-04-01,112907370.10297613,1489.197556445332,5647.572148496141,1746508.0479217193,173283.1101986597,81784.08181442783,81566.44337142588,55695.37307740929,60538.44868674923
2024-10-01,125727818.39028303,1641.3179738811928,6272.217738779063,1912958.422395461,193170.19767497698,90193.61288598632,89749.26867836772,61500.05088285457,66847.88117179838
2023-10-01,117535909.0011237,1537.7614476117972,5864.452879472696,1799255.4975087836,180405.60086300003,84523.43502188934,84234.02458587871,57596.82288136366,62605.24290539523
2023-09-01,118597018.51232195,1526.434360526125,5897.3792281098595,1785091.1443071873,182139.08013662198,84115.36911232777,83445.82054158427,57433.63036697073,62427.85895583774
2024-06-01,121900336.23239881,1535.3764305648247,6046.5626235149375,1799936.7937283772,187293.2647061006,84863.052379482,84225.59938557088,58213.65192423824,63275.70923851982
2020-05-01,97172324.20842528,1254.15572690786,4849.458421399487,1487120.5748685107,148799.54913036304,69057.05577302705,68888.75757331903,47161.78839170376,51262.812559243204
2022-10-01,116105075.98756754,1508.913002950043,5792.634976236458,1773147.1462814305,178091.2861652698,83045.5361739524,82665.18074522317,56671.44684314006,61599.39918428269
2018-09-01,99254349.34944049,1314.838598822378,4971.274030251248,1583946.1788413706,607698.4696026155,72243.84212700758,72436.71368330256,82499.84245736389,89673.74241496083
2021-08-01,112330099.90504256,1409.6158634096523,5584.141360610173,1668468.362573157,172198.00112395542,77989.9361170783,77213.74534765487,53559.178312669355,58216.497948118915
2021-07-01,110868829.83147286,1384.3212689675925,5505.024019594011,1638631.1252075897,169974.60647235607,76595.59069457909,75961.69711129964,52625.38817537653,57201.50838367012
2020-01-01,94756331.2058745,1243.6687817612658,4744.08368981307,1487591.149887299,144696.4448593782,68375.42673481643,68781.3350915995,46671.393426104914,50729.77565924442
2020-03-01,96071160.67146659,1260.4629817863909,4806.790354754585,1498265.759839301,146937.0400073886,69251.23519644758,69374.40135868441,47213.98370363731,51319.54741004057
2017-05-01,95731234.2567414,1283.5106452853292,4813.849085068647,1558767.8542121993,586123.6391740936,70456.30216333561,71172.6555284391,80150.14221096675,87119.71987539867
2019-10-01,102169228.22983569,1357.3663038232178,5121.232978575901,1628958.4574522292,625190.8539811721,74529.24434744356,74841.94907397803,84987.49154692749,92377.70871187774
2018-12-01,94702416.74448898,1274.2377929921279,4762.02084171887,1537415.6339883104,577857.665496088,69849.13252974609,70503.56686454266,79141.99190297085,86023.90432888137
2022-01-01,103098388.76037699,1363.0698307856014,5168.8949890799195,1622696.6684678558,157823.34662182216,74879.46986907815,75415.62744985559,51102.6548080647,55546.363648765924
2021-02-01,89129930.26991102,1168.3368703526985,4466.225947190426,1404472.2549402744,136182.19567960466,64278.23295521067,64902.48391507101,43955.71754882203,47777.954218284845
2025-04-01,123980454.64790389,1614.8062849070106,6182.443070504282,1884618.7339691492,190618.09944107782,88837.02481154926,88342.0218072146,60625.90836660142,65897.72643413197
2018-03-01,94531875.1052843,1275.4598048190016,4757.686010396188,1545608.4013271031,577232.0154622658,69913.53745667095,70728.75304054747,79202.30502185534,86089.46297332105
2024-07-01,127372736.0530943,1584.8806225325843,6302.26871119267,1850011.4410632108,195736.47893931987,87660.22286790966,86828.98013143534,60188.5464959806,65422.33368867457
2017-04-01,92490774.73036693,1250.0398717028738,4655.682671126207,1517438.057277853,566279.8822266234,68541.10485987518,69209.84361128138,77672.26412424482,84426.37357287479
2022-11-01,114727101.28539696,1511.4059478875297,5741.085997496989,1774838.7963179857,175873.75250962377,83021.94569343941,82678.36218502674,56544.68036307043,61461.608600728665
2024-05-01,123033461.20233344,1568.4533722514445,6116.721966240136,1840600.5099524644,189023.37743622542,86543.38574284183,86139.24996746866,59274.24325372176,64428.525315784536
2024-04-01,120344890.57904512,1570.2742095184851,6006.64339127819,1841887.6991368511,184850.88755703624,86388.62753580841,86083.09603211518,58973.85312536478,64102.01400148347
2017-09-01,96944111.04556325,1305.3233003371852,4871.95836449948,1580730.0488857536,594333.5417143733,71583.85796958569,72096.38172542032,81266.51448776794,88333.16754105216
2019-04-01,96853683.12252538,1290.2737004345513,4856.224513088144,1550284.9751492946,593274.7212419971,70803.84542410939,71164.41343737238,80694.88918315261,87711.83604255722
2022-06-01,111170194.94911823,1394.1599760927868,5515.61760524837,1650314.793776591,170603.34850504177,77158.91676969221,76693.98113957816,52999.171792478766,57607.79538573781
2021-11-01,96496161.21261656,1259.5825438328409,4828.7182705694,1504537.5734600627,147717.67613995224,69299.82933985416,69882.16239845399,47419.49472099716,51542.92871760558
2024-09-01,124526842.75100914,1593.5711500176358,6189.58967887498,1858658.8043590258,191387.7456743387,87848.81698175885,87016.0516209283,60068.02342741993,65291.328886325995
2020-06-01,96960171.83359364,1233.8825218917934,4825.776714401133,1461343.3547617283,148548.0426539379,68068.80889320208,67673.24751685944,46580.106359633646,50630.55139960179
2021-10-01,107775294.78983246,1391.5921739543592,5385.228443659322,1647130.7323188386,165195.41174365478,76650.85885278006,76335.38696149773,52438.210348205015,56998.055508048914
2021-05-01,105326128.05059288,1359.2963195347468,5264.584798785813,1621777.71002609,161394.8943299005,74919.2658526722,74970.31853467548,51316.96408021293,55779.307995883595
2017-10-01,95758985.2476722,1290.2165029083958,4814.65295883956,1560153.77475205,586466.8635164811,70710.72625924111,71305.897804349,80232.233611943,87208.94909341626
2018-08-01,101939983.18517023,1334.5529020126178,5095.404867243687,1607956.5076607473,624237.1467685122,73437.78166419538,73588.75743323343,84325.35183520851,91657.99046913972
2020-07-01,103298672.7139684,1300.7182065664326,5131.208004472874,1543858.456175007,158361.83291003332,71880.57828365752,71426.7462416432,49291.93588454855,53578.19047407455
2023-08-01,122154910.95868345,1545.4498811487326,6057.347935429053,1807882.990214852,187636.34427578567,85328.77821125479,84571.17872175785,58407.106901946136,63485.98522124586
2022-09-01,113517693.56099574,1452.6899465908527,5647.14107757321,1708378.500198912,174238.0297008653,80126.6900011445,79533.50686531488,54803.54103192218,59569.066873393625
2024-02-01,105845416.7426998,1392.051553224975,5290.419905155077,1641542.4348655576,162351.96829366288,76452.21673359643,76962.51575282107,52154.652738515266,56689.83974273404
2025-02-01,108087546.55233344,1420.4349972815705,5398.539717116233,1659002.1575510367,166020.890543088,77957.26715541785,78051.29028372577,53118.31249721587,57737.29637175637
2025-01-01,117414734.10227202,1547.1713772069452,5869.075668522792,1808252.0087171535,180313.26881935672,84872.19856123281,85022.46871627095,57824.08585710393,62852.26720685209
2017-01-01,85265334.69428465,1158.005537147295,4299.289290054515,1410140.7458099371,520010.2488659884,63451.40502140478,64402.62823196251,71640.61165461656,77870.22935849623
2021-03-01,101253170.10228507,1329.1473505174888,5074.077438739582,1589510.1832913423,155011.8960368184,73098.86186263248,73370.08734840131,49948.076394923286,54291.38678187314
2024-01-01,113578174.96898521,1503.1597063169907,5684.943308235396,1766911.567707927,174198.0361034015,82487.07252533507,82757.4687543976,56197.38980925884,61084.11941006393
2019-11-01,98358048.00601812,1315.289748599181,4938.3764450343615,1577242.1296585423,600911.5460910257,72133.73255796875,72602.6509624684,81990.10259026736,89119.67722202971
2019-08-01,105176730.6429854,1361.321312465263,5243.155089604081,1629465.067903229,644237.885145638,74972.90624478353,74942.02908716258,86508.83382490677,94031.34070229004
2017-12-01,92571685.52053323,1253.3938105202017,4663.707755918381,1519811.711533171,564960.496128798,68685.04021093925,69489.84202155987,77664.1496644534,84417.55449831893
2022-12-01,112119984.11641698,1477.8892398736614,5611.647130717873,1732512.9619505892,171803.95119163697,81091.07575548456,81078.82758165392,55198.21703878075,59998.06272215299
2023-03-01,112695415.09574865,1499.73888626195,5645.587711340562,1756681.080385919,172831.62038560037,82233.49593760975,82158.64240865911,55895.55695236925,60756.040260836104
2021-12-01,107877689.12154125,1429.0935662082277,5408.879138991062,1695555.3495792893,165118.63167846974,78460.47860271408,78864.05718881774,53502.00743525275,58154.35616918771
2019-03-01,96950922.2655009,1298.1817760395168,4868.574836233447,1560813.3814433948,592687.2742469265,71179.74749605368,71709.7908761867,80898.22955128418,87932.85866704803
2025-06-01,127616579.25779244,1601.029256519394,6320.6218620599575,1860780.0398507253,196279.55091368037,88434.51014796256,87598.42087444499,60621.100001705534,65892.50018272341
2022-04-01,107049885.94079362,1391.5285055142037,5346.493549635413,1649762.9656105093,164141.07391386668,76637.34569116632,76614.12933343083,52389.53450505281,56945.14632288351
2020-04-01,94753413.92191513,1240.0315650787936,4740.373961842102,1474378.3526789248,144931.8111158826,68163.50114800256,68210.85873923925,46482.14713120016,50524.073543043625
2024-11-01,120300339.44613042,1585.1847188581548,6012.325928214457,1849184.649937694,184718.03825529525,87002.8213168926,86784.3725930285,59255.97975322395,64408.67318437386
2019-05-01,100837115.48105653,1327.526994545788,5046.46061945795,1593576.333444923,617801.1656432801,72959.11474510364,73239.62891452832,83608.81246994263,90879.14378950291
2019-06-01,99737968.09377477,1296.2628404071004,4976.3137767973285,1553945.8433283442,611234.0953462173,71344.50334142736,71474.01685332663,82210.26516762431,89358.98458306983
2025-10-01,131884801.53715008,1717.739968640808,6574.050495384987,1991414.5997339361,202870.2033932658,94383.47457480454,93795.08080882058,64357.20920264567,69953.48803939746
2023-06-01,115085100.94511987,1456.7307652009001,5711.46812121313,1710371.2882362907,176724.0313947284,80448.87594442643,80002.11121690595,55110.38030912723,59902.58759035569
2017-06-01,94927755.89832215,1258.6842806479237,4760.776392623894,1522852.2068071545,581791.9790528809,69161.08536268258,69609.98639200696,79070.76464495898,85946.48457930323
2023-07-01,119535448.44605373,1501.4858799937115,5921.954756151208,1757822.2657698723,183566.83337086873,82969.63946402987,82341.03316032277,56855.01736800099,61798.932312609766
2018-06-01,97584230.76653945,1284.2993000961396,4886.717526847632,1551610.5930973764,597470.6012886039,70645.79958105445,71020.30813566518,80966.11025581296,88006.64118457928
2019-09-01,101839268.65151547,1342.9400843564413,5094.290084270561,1609092.5557744815,623635.3699733034,73783.1322504785,73940.98282566732,84425.6662617691,91767.02893714033
2022-07-01,116903939.33663006,1448.151511441893,5785.6316065259925,1707709.4801776004,179422.09483812386,80246.55620285324,79505.92523146041,55169.627600649765,59966.98622027147
2017-07-01,99022919.47849965,1304.5315845541656,4959.360282833009,1578831.4398623703,606877.0516146836,71755.92389731866,72128.26235541856,82255.59731027292,89408.25699073143
2020-10-01,102985186.16208045,1334.935635949557,5144.577727708371,1587784.3392943481,157792.2639008184,73470.89062523439,73380.30255154225,50207.44844338026,54573.31391019592
2020-09-01,102556964.62385939,1315.2766326577826,5110.917531042231,1562019.286075044,157193.64786095862,72510.83852358718,72115.69988835586,49608.71425552754,53922.515678182084
2020-08-01,105100166.33485006,1327.6928096113336,5223.043395193501,1575405.9859510735,161140.08204847353,73329.00077535503,72828.96334960595,50260.02887156626,54630.46577518071
2023-01-01,105280995.30433784,1395.3398475453305,5272.175657291018,1638890.3100307283,161271.94800062358,76490.5210766101,76879.3692713408,52025.957736701035,56549.954068153245
2017-02-01,81001316.54696897,1094.9612750180838,4078.454098207604,1329670.4454194456,494502.47250269155,60008.017007342765,60842.073252208895,67922.53505741319,73828.84291327513
2020-02-01,88706067.40697433,1157.3398580299572,4432.874160806837,1377430.004827655,135480.87421619857,63609.767716839706,63964.43664436751,43402.76806783349,47176.92190373206
2022-02-01,94613568.28807756,1242.8573289025844,4735.667046547948,1476866.0279670537,144942.52397623946,68300.76515884536,68770.16227833356,46638.173380691354,50693.6664272732
2018-02-01,83970681.27224357,1134.7058515807057,4228.759798927233,1383970.4208311525,512116.0931955345,62243.949142464524,63283.548888537116,70436.45127789804,76561.36080597613
2025-12-01,127647452.13586631,1689.952066236031,6387.683072257548,1967409.8773929316,196141.82827902507,92705.67717617552,92617.37228744333,63134.181167993585,68624.10902477568
2023-12-01,114018932.28263581,1510.9528626549695,5706.58123557194,1768074.4597661444,174889.38989155958,82829.63871147514,82984.5982525074,56366.3356911534,61267.75602560153
2024-12-01,121815051.9669119,1612.2988311860822,6093.478430305877,1879348.1287772614,187063.03888126326,88413.96834253104,88280.8760571173,60177.30101944258,65410.10951895931
2017-11-01,92729600.64928341,1258.1643831051758,4671.759071233597,1526130.6298255527,567285.409200653,68939.48274564509,69683.98141683172,77961.84224196187,84741.13171082817
2025-11-01,126680429.84724477,1671.0890888742401,6332.77524312309,1943132.446020215,194716.31386773908,91703.29137629876,91478.11887002242,62466.395343350945,67898.25574538147
2022-03-01,106095718.27227642,1392.492972015646,5309.8220351814725,1651263.618933725,162633.44105241616,76557.95582801441,76754.81308161467,52273.75453739492,56819.298297603156
2025-07-01,133055687.29758285,1652.2110357203233,6576.19085074266,1914712.095240615,204705.20317922055,91332.0626415245,90304.15187281159,62670.64789804436,68120.26883178737
2018-11-01,95141562.50273855,1280.926290558734,4781.3279034474735,1546101.4069387645,581451.8221174448,70220.7202157513,70779.59757498921,79579.16885571524,86499.09644316873
2023-11-01,112150446.92500922,1480.5223175589406,5606.690866188416,1729938.4013152898,172005.8759357538,81206.93757341462,81204.26970617511,55267.61510533833,60073.49471797646
2021-04-01,100809492.89257747,1316.711058259423,5047.364655095251,1574163.949114615,154420.47387568344,72481.44477628698,72653.56155808267,49569.637885647244,53880.04253309478
2018-05-01,99445449.04557076,1322.386986157947,4992.723140301048,1602503.9861330397,608818.0017152199,72664.24379157412,73271.20000651517,82940.95666615243,90153.21368538312
2024-08-01,130536219.16529739,1637.5722680525205,6465.704326744872,1911708.1156343538,200625.36836899584,90537.83447559156,89439.31648028886,62089.952097794674,67489.07663238548
2020-11-01,98600183.6715023,1291.127722736402,4936.074410931429,1538916.1816876018,150925.09208598812,70980.95976041105,71133.93123280509,48460.070272974626,52673.989907581104
2017-08-01,99944666.0955259,1321.962132337125,5007.138387837604,1598656.0412114225,612512.4259934354,72659.25830462009,72981.26226816357,83123.9160858874,90352.08298074716
2018-10-01,99470908.46747375,1332.7279110295985,4993.578552067228,1606364.8455370262,608657.4030914089,73098.20858462405,73537.87399238063,83055.71132144569,90277.94665287575
2021-06-01,107535982.26959385,1363.5593552591881,5357.521413518017,1621442.874707452,164776.18170939357,75346.60311475552,74974.34618442197,51702.53378776298,56198.4065632206
2018-07-01,101826018.85796185,1326.042002068818,5086.785878947747,1598008.9733796027,623863.57740427,73022.17072431723,73210.07674677146,84090.94142352579,91403.19704600632
2021-09-01,108299462.15872346,1385.0398743461333,5400.432159220125,1640202.208366294,166090.0997809712,76422.22697197639,75869.51608400655,52349.81843886155,56901.9763044147
2022-08-01,119105060.41664414,1493.195273237977,5904.223004327379,1760618.4858060465,182853.37745902943,82643.30710419352,81828.69903412173,56723.8906153218,61656.402110567185
