ocean,year,emissions_co2_mt,emissions_co2_dark_mt,number_observations,number_observations_imaged
southern,2024,607164.3061219816,10341.46614,48480,0
southern,2018,157765.37780024737,11107.577179999998,48480,0
southern,2022,341302.56001734023,11587.172639999999,48480,0
atlantic,2018,341689132.7581042,72860754.73495997,117144,43883
atlantic,2023,401650937.2221828,74982425.23721004,117144,40137
indian,2021,189161502.7328812,38236886.638239995,92112,16093
atlantic,2019,353544867.0843042,72450050.72197002,117144,44879
indian,2017,177404182.0234221,35165583.62559001,92112,15988
indian,2019,176845256.40542462,36560297.76074,92112,16824
pacific,2019,322426065.2917386,99315316.63524,199296,38133
pacific,2021,355483349.0100602,108931093.41154,199296,37994
arctic,2017,2758896.727132676,1878215.270159999,82536,15159
arctic,2022,4588279.734255964,852712.6664700002,82536,5345
southern,2023,553560.4031762761,12341.94286,48480,0
southern,2020,153723.184775689,11177.792150000001,48480,0
southern,2021,136992.83659189736,10266.79147,48480,0
atlantic,2017,331323041.4053927,73668336.9601,117144,42448
indian,2022,197966543.04733598,38924223.84979,92112,14648
atlantic,2020,340674868.1996146,71029625.90997998,117144,43851
pacific,2017,295402371.79394364,94208957.28566009,199296,35675
pacific,2023,424327501.82913715,110499597.14596002,199296,32834
atlantic,2021,372806926.12553865,72914190.83891,117144,44195
arctic,2018,3037151.428654755,2216975.27407,82536,17090
arctic,2021,4483423.177396564,2123244.54212,82536,15851
arctic,2020,3818515.4524684832,2087671.48708,82536,15813
arctic,2023,4623910.0388898775,858975.3535100003,82536,5189
southern,2017,155375.09502276598,11971.63812,48480,0
southern,2019,175252.27238715295,54946.841810000005,48480,261
atlantic,2022,401218300.1722318,76702897.87205002,117144,40492
indian,2018,177559713.1306307,35488051.84080001,92112,16312
pacific,2020,323459194.5074606,109148137.68889,199296,38077
atlantic,2024,440767344.28164154,75815477.64635998,117144,40376
pacific,2024,452104333.2176299,108363823.15895998,199296,33385
indian,2020,178644598.27530235,42869901.945989996,92112,16247
indian,2024,223574750.3502559,42351591.010129996,92112,15060
indian,2023,210378195.77152178,41017601.75185,92112,14951
pacific,2018,312550015.42328376,94805835.40417,199296,37406
pacific,2022,394347908.3041829,111386430.33771995,199296,32016
arctic,2019,3594541.8063064558,2035075.9538500002,82536,15362
arctic,2024,4650473.821275745,888473.2755000001,82536,5589
