from_country_iso3,to_country_iso3,vessel_class,year,emissions_co2_mt,n_unique_trips
ABW,ABW,cargo.bulk_carrier,2017,17.9599908,17
ABW,ABW,cargo.bulk_carrier,2018,168.099979,56
ABW,ABW,cargo.bulk_carrier,2019,1410.83791,33
ABW,ABW,cargo.bulk_carrier,2020,138.603196,22
ABW,ABW,cargo.bulk_carrier,2022,11.904955,1
ABW,ABW,cargo.bulk_carrier,2024,0.272652894,1
ABW,ABW,cargo.bulk_carrier,2025,4.03296708,1
ABW,ABW,cargo.container,2017,12.3035574,20
ABW,ABW,cargo.container,2018,12.4595466,15
ABW,ABW,cargo.container,2019,25.9816449,13
ABW,ABW,cargo.container,2020,10.5385592,12
ABW,ABW,cargo.container,2021,22.0970119,6
ABW,ABW,cargo.container,2022,6.82121945,6
ABW,ABW,cargo.container,2023,4.71891166,10
ABW,ABW,cargo.container,2024,14.2566979,26
ABW,ABW,cargo.container,2025,21.3687217,39
ABW,ABW,cargo.general,2017,18.119951,42
ABW,ABW,cargo.general,2018,96.2305635,139
ABW,ABW,cargo.general,2019,29.7949187,34
ABW,ABW,cargo.general,2020,14.4543699,19
ABW,ABW,cargo.general,2021,40.6679239,84
ABW,ABW,cargo.general,2022,252.662178,146
ABW,ABW,cargo.general,2023,26.2779107,45
ABW,ABW,cargo.general,2024,137.465947,161
ABW,ABW,cargo.general,2025,246.943967,169
ABW,ABW,cargo.refrigerated,2017,4.787068,3
ABW,ABW,cargo.ro_ro,2017,2.69245495,3
ABW,ABW,cargo.ro_ro,2018,3.78566787,2
ABW,ABW,cargo.ro_ro,2019,1.92278734,1
ABW,ABW,cargo.ro_ro,2020,0.536988927,1
ABW,ABW,cargo.ro_ro,2021,941.063926,6
ABW,ABW,cargo.ro_ro,2022,425.563631,2
ABW,ABW,cargo.ro_ro,2023,22.1075376,6
ABW,ABW,cargo.ro_ro,2024,17.9354847,8
ABW,ABW,cargo.ro_ro,2025,1.89372986,1
ABW,ABW,container_reefer,2018,12.3082711,8
ABW,ABW,container_reefer,2019,0.543310672,1
ABW,ABW,container_reefer,2020,2.46029335,1
ABW,ABW,container_reefer,2021,2.56243878,3
ABW,ABW,container_reefer,2022,3.71534133,2
ABW,ABW,dredge_non_fishing,2021,1.47787488,3
ABW,ABW,dredge_non_fishing,2022,1.76286116,3
ABW,ABW,other_not_fishing,2017,11.3905173,3
ABW,ABW,other_not_fishing,2018,3.53132125,5
ABW,ABW,other_not_fishing,2020,3250.39436,3
ABW,ABW,other_not_fishing,2021,1.94050347,5
ABW,ABW,other_not_fishing,2023,3515.5324,1
ABW,ABW,other_not_fishing,2024,31.0062167,2
ABW,ABW,other_not_fishing,2025,26.4182287,1
ABW,ABW,passenger,2017,143.875926,246
ABW,ABW,passenger,2018,91.9188893,228
ABW,ABW,passenger,2019,77.3758816,176
ABW,ABW,passenger,2020,3528.69849,371
ABW,ABW,passenger,2021,6714.10677,245
ABW,ABW,passenger,2022,305.979889,77
ABW,ABW,passenger,2023,177.835818,76
ABW,ABW,passenger,2024,500.099481,204
ABW,ABW,passenger,2025,262.894646,266
ABW,ABW,patrol_vessel,2017,0.507443162,1
ABW,ABW,patrol_vessel,2018,1.81139723,2
ABW,ABW,patrol_vessel,2021,0.108375251,2
ABW,ABW,patrol_vessel,2024,11.3874498,2
ABW,ABW,patrol_vessel,2025,2.09743515,4
ABW,ABW,seismic_vessel,2017,51.3282506,25
ABW,ABW,seismic_vessel,2018,116.044311,29
ABW,ABW,seismic_vessel,2019,52.9820908,4
ABW,ABW,seismic_vessel,2020,43.0106948,1
ABW,ABW,seismic_vessel,2022,3.51372057,7
ABW,ABW,seismic_vessel,2024,0.497435028,6
ABW,ABW,seismic_vessel,2025,23.1017172,3
ABW,ABW,supply_vessel,2017,23.1969773,7
ABW,ABW,supply_vessel,2018,50.2916682,2
ABW,ABW,supply_vessel,2021,11.4393207,3
ABW,ABW,supply_vessel,2022,1.40778903,2
ABW,ABW,tanker.chemical,2017,1825.95071,59
ABW,ABW,tanker.chemical,2018,187.345609,27
ABW,ABW,tanker.chemical,2019,393.626994,42
ABW,ABW,tanker.chemical,2020,176.768782,28
ABW,ABW,tanker.chemical,2021,9.94063432,10
ABW,ABW,tanker.chemical,2022,46.7130871,10
ABW,ABW,tanker.chemical,2023,63.7877235,17
ABW,ABW,tanker.chemical,2024,135.163219,24
ABW,ABW,tanker.chemical,2025,47.9470565,15
ABW,ABW,tanker.liquefied_gas,2017,3058.50267,163
ABW,ABW,tanker.liquefied_gas,2018,49.2151476,2
ABW,ABW,tanker.liquefied_gas,2019,138.36329,12
ABW,ABW,tanker.liquefied_gas,2020,38.8592357,2
ABW,ABW,tanker.liquefied_gas,2021,66.7627452,33
ABW,ABW,tanker.liquefied_gas,2023,0.408274157,2
ABW,ABW,tanker.liquefied_gas,2024,0.461512585,2
ABW,ABW,tanker.liquefied_gas,2025,13.8867288,4
ABW,ABW,tanker.oil,2017,4148.95554,181
ABW,ABW,tanker.oil,2018,6444.01655,161
ABW,ABW,tanker.oil,2019,3969.06326,135
ABW,ABW,tanker.oil,2020,5319.39111,89
ABW,ABW,tanker.oil,2021,5547.56685,54
ABW,ABW,tanker.oil,2022,1793.0659,18
ABW,ABW,tanker.oil,2023,726.100431,59
ABW,ABW,tanker.oil,2024,808.955376,80
ABW,ABW,tanker.oil,2025,733.121154,28
ABW,ABW,trawlers,2024,3.45974672,4
ABW,ABW,trawlers,2025,13.1761739,20
ABW,ABW,tug,2017,313.090124,1087
ABW,ABW,tug,2018,141.372024,386
ABW,ABW,tug,2019,56.2741156,271
ABW,ABW,tug,2020,61.9256014,301
ABW,ABW,tug,2021,25.0278013,151
ABW,ABW,tug,2022,63.2478655,318
ABW,ABW,tug,2023,29.7902727,157
ABW,ABW,tug,2024,48.3218797,264
ABW,ABW,tug,2025,50.3343371,271
ABW,AGO,tanker.chemical,2018,1586.34062,1
ABW,AGO,tanker.oil,2019,1665.43041,1
ABW,AIA,passenger,2017,11.8850434,1
ABW,ARE,tanker.oil,2023,17036.5284,2
ABW,ARG,tanker.oil,2020,1536.91724,1
ABW,ATG,cargo.general,2024,109.066175,1
ABW,ATG,cargo.ro_ro,2019,140.079698,1
ABW,ATG,passenger,2017,981.064575,2
ABW,ATG,passenger,2018,446.947423,1
ABW,ATG,passenger,2019,623.875317,2
ABW,ATG,passenger,2021,15.3394521,1
ABW,ATG,passenger,2022,371.894084,1
ABW,ATG,passenger,2023,8.58094791,1
ABW,ATG,tanker.chemical,2019,130.569369,1
ABW,ATG,tanker.chemical,2021,88.6683822,1
ABW,ATG,tanker.oil,2017,191.048001,1
ABW,BEL,cargo.bulk_carrier,2019,724.20283,1
ABW,BEL,cargo.bulk_carrier,2022,861.074788,1
ABW,BEL,tanker.chemical,2017,2705.08174,2
ABW,BEL,tanker.chemical,2019,1053.95519,1
ABW,BEL,tanker.liquefied_gas,2021,1105.86294,1
ABW,BEL,tanker.oil,2022,1617.01977,1
ABW,BES,cargo.bulk_carrier,2018,49.2746251,1
ABW,BES,cargo.container,2021,66.9075812,1
ABW,BES,cargo.container,2022,1022.10233,12
ABW,BES,cargo.container,2023,1091.03766,13
ABW,BES,cargo.container,2024,955.798224,12
ABW,BES,cargo.container,2025,1638.01013,26
ABW,BES,cargo.general,2017,35.7738178,4
ABW,BES,cargo.general,2018,28.2082577,5
ABW,BES,cargo.general,2019,28.3567651,6
ABW,BES,cargo.general,2020,59.9438339,9
ABW,BES,cargo.general,2021,63.435473,8
ABW,BES,cargo.general,2022,30.4297064,4
ABW,BES,cargo.general,2023,19.3308056,2
ABW,BES,cargo.general,2024,8.53989453,2
ABW,BES,cargo.general,2025,13.2213425,2
ABW,BES,cargo.ro_ro,2022,37.1705491,2
ABW,BES,cargo.ro_ro,2024,46.7828265,1
ABW,BES,cargo.ro_ro,2025,29.7732012,1
ABW,BES,passenger,2017,1431.96912,21
ABW,BES,passenger,2018,1541.30844,24
ABW,BES,passenger,2019,1141.27766,23
ABW,BES,passenger,2020,569.58013,10
ABW,BES,passenger,2021,303.9518,17
ABW,BES,passenger,2022,2641.83182,47
ABW,BES,passenger,2023,2365.18336,36
ABW,BES,passenger,2024,3129.14392,54
ABW,BES,passenger,2025,2686.83288,45
ABW,BES,patrol_vessel,2017,47.2439639,2
ABW,BES,patrol_vessel,2021,0.18571316,1
ABW,BES,tanker.chemical,2018,195.119017,1
ABW,BES,tanker.chemical,2019,265.500104,3
ABW,BES,tanker.chemical,2021,115.534319,1
ABW,BES,tanker.chemical,2022,84.383474,1
ABW,BES,tanker.oil,2017,878.775696,2
ABW,BES,tanker.oil,2018,717.471585,4
ABW,BES,tanker.oil,2019,291.17153,1
ABW,BES,tanker.oil,2020,173.955776,1
ABW,BES,tanker.oil,2021,1335.87079,2
ABW,BES,tanker.oil,2022,1303.65936,2
ABW,BES,tanker.oil,2023,125.320486,1
ABW,BES,tug,2017,16.4847256,4
ABW,BES,tug,2018,3.45908374,1
ABW,BES,tug,2019,38.811934,3
ABW,BES,tug,2020,4.11544491,1
ABW,BHS,cargo.bulk_carrier,2018,68.7964637,1
ABW,BHS,cargo.bulk_carrier,2019,263.071074,2
ABW,BHS,cargo.general,2020,318.110193,4
ABW,BHS,cargo.general,2021,75.9405044,1
ABW,BHS,cargo.general,2025,43.0158434,1
ABW,BHS,passenger,2017,0.311367789,1
ABW,BHS,passenger,2018,1.10061501,1
ABW,BHS,passenger,2019,2.33877354,1
ABW,BHS,passenger,2020,1862.1004,3
ABW,BHS,passenger,2021,1.80417893,3
ABW,BHS,passenger,2022,1274.2336,3
ABW,BHS,passenger,2023,234.565437,3
ABW,BHS,passenger,2024,1210.79601,4
ABW,BHS,passenger,2025,1111.64591,2
ABW,BHS,tanker.chemical,2020,302.327434,1
ABW,BHS,tanker.chemical,2024,470.337977,1
ABW,BHS,tanker.chemical,2025,337.214955,1
ABW,BHS,tanker.oil,2017,981.357729,2
ABW,BHS,tanker.oil,2018,383.189945,1
ABW,BHS,tanker.oil,2019,924.513191,2
ABW,BHS,tanker.oil,2020,593.667838,1
ABW,BHS,tanker.oil,2023,445.278418,1
ABW,BLM,passenger,2019,0.250543459,1
ABW,BLZ,tanker.oil,2018,159.368766,1
ABW,BMU,passenger,2017,82.8651275,1
ABW,BMU,passenger,2019,189.077659,1
ABW,BMU,passenger,2023,0.833615139,1
ABW,BRA,cargo.bulk_carrier,2017,824.453045,2
ABW,BRA,cargo.bulk_carrier,2018,338.751331,1
ABW,BRA,cargo.bulk_carrier,2020,277.530005,1
ABW,BRA,cargo.bulk_carrier,2025,601.881823,1
ABW,BRA,cargo.ro_ro,2017,860.252396,1
ABW,BRA,passenger,2024,16.1447288,1
ABW,BRA,tanker.chemical,2017,641.405789,1
ABW,BRA,tanker.chemical,2019,1593.35692,2
ABW,BRA,tanker.chemical,2023,1113.10655,2
ABW,BRA,tanker.chemical,2024,1089.37084,1
ABW,BRA,tanker.liquefied_gas,2017,1194.1351,2
ABW,BRA,tanker.oil,2017,1843.45233,2
ABW,BRA,tanker.oil,2019,2920.50032,2
ABW,BRA,tanker.oil,2021,716.658503,1
ABW,BRA,tanker.oil,2022,395.921521,1
ABW,BRB,cargo.general,2017,89.9718502,1
ABW,BRB,cargo.general,2021,31.0619903,1
ABW,BRB,cargo.ro_ro,2023,22.3587173,1
ABW,BRB,passenger,2017,1872.20285,4
ABW,BRB,passenger,2018,1189.09277,2
ABW,BRB,passenger,2019,628.667812,1
ABW,BRB,passenger,2020,127.856069,3
ABW,BRB,passenger,2021,882.445261,2
ABW,BRB,passenger,2022,1924.74777,4
ABW,BRB,passenger,2023,1832.65315,3
ABW,BRB,passenger,2024,1123.87188,2
ABW,BRB,passenger,2025,1763.52903,3
ABW,BRB,patrol_vessel,2018,2.1727736,1
ABW,BRB,tanker.chemical,2017,63.7232686,1
ABW,BRB,tanker.liquefied_gas,2017,74.0929481,1
ABW,BRB,tanker.oil,2018,159.047537,1
ABW,BRB,tug,2023,15.1713899,1
ABW,CAN,cargo.bulk_carrier,2020,552.793358,1
ABW,CAN,cargo.container,2018,440.836092,1
ABW,CAN,cargo.general,2019,554.905338,1
ABW,CAN,cargo.general,2020,385.769672,1
ABW,CAN,passenger,2019,33.8320486,1
ABW,CAN,passenger,2022,3.89017871,1
ABW,CAN,tanker.chemical,2017,723.965231,1
ABW,CAN,tanker.chemical,2025,570.358365,1
ABW,CAN,tanker.oil,2017,740.209633,1
ABW,CAN,tanker.oil,2018,891.985284,1
ABW,CAN,tanker.oil,2019,723.123938,1
ABW,CHL,passenger,2024,87.9289621,1
ABW,CHL,passenger,2025,6.20125618,1
ABW,CHN,tanker.liquefied_gas,2018,10471.0388,1
ABW,CHN,tanker.oil,2017,26944.4104,4
ABW,CHN,tanker.oil,2018,42747.502,7
ABW,CHN,tanker.oil,2019,58192.4632,8
