vessel_class,year,n_vessels,vessels_baseline,baseline_year,vessels_change
Cargo: bulk carrier,2016,11383,11383,2016,0
Cargo: bulk carrier,2017,11341,11383,2016,-0.0036897127295089094
Cargo: bulk carrier,2018,11627,11383,2016,0.02143547395238521
Cargo: bulk carrier,2019,11899,11383,2016,0.04533075639110962
Cargo: bulk carrier,2020,12166,11383,2016,0.06878678731441634
Cargo: bulk carrier,2021,12444,11383,2016,0.09320917157164188
Cargo: bulk carrier,2022,12824,11383,2016,0.1265922867433893
Cargo: bulk carrier,2023,12816,11383,2016,0.12588948431872082
Cargo: container,2016,5239,5239,2016,0
Cargo: container,2017,5242,5239,2016,5.726283641915852e-4
Cargo: container,2018,5244,5239,2016,9.543806069860494e-4
Cargo: container,2019,5293,5239,2016,0.010307310555449423
Cargo: container,2020,5381,5239,2016,0.027104409238404292
Cargo: container,2021,5444,5239,2016,0.03912960488642869
Cargo: container,2022,5743,5239,2016,0.09620156518419543
Cargo: container,2023,5836,5239,2016,0.11395304447413634
Cargo: general,2016,11702,11702,2016,0
Cargo: general,2017,11703,11702,2016,8.545547769611694e-5
Cargo: general,2018,11878,11702,2016,0.015040164074517248
Cargo: general,2019,12063,11702,2016,0.030849427448299327
Cargo: general,2020,12390,11702,2016,0.05879336865493068
Cargo: general,2021,12457,11702,2016,0.06451888566057074
Cargo: general,2022,12381,11702,2016,0.058024269355665625
Cargo: general,2023,12292,11702,2016,0.050418731840710995
Cargo: ro ro,2016,1564,1564,2016,0
Cargo: ro ro,2017,1621,1564,2016,0.03644501278772383
Cargo: ro ro,2018,1617,1564,2016,0.033887468030690426
Cargo: ro ro,2019,1633,1564,2016,0.044117647058823595
Cargo: ro ro,2020,1774,1564,2016,0.13427109974424556
Cargo: ro ro,2021,1814,1564,2016,0.15984654731457804
Cargo: ro ro,2022,1833,1564,2016,0.17199488491048598
Cargo: ro ro,2023,1823,1564,2016,0.1656010230179028
Fishing,2016,21659,21659,2016,0
Fishing,2017,22028,21659,2016,0.017036797636086565
Fishing,2018,22430,21659,2016,0.03559721132092886
Fishing,2019,22697,21659,2016,0.04792465026086146
Fishing,2020,27050,21659,2016,0.24890345814672887
Fishing,2021,27265,21659,2016,0.2588300475552887
Fishing,2022,27163,21659,2016,0.25412068885913475
Fishing,2023,26972,21659,2016,0.24530218384966984
Other,2016,11917,11917,2016,0
Other,2017,11881,11917,2016,-0.0030208945204329707
Other,2018,11971,11917,2016,0.0045313417806494005
Other,2019,12075,11917,2016,0.01325837039523381
Other,2020,13077,11917,2016,0.0973399345472854
Other,2021,13230,11917,2016,0.11017873625912555
Other,2022,13372,11917,2016,0.12209448686750024
Other,2023,13325,11917,2016,0.11815054124360147
Other liquid tanker,2016,142,142,2016,0
Other liquid tanker,2017,142,142,2016,0
Other liquid tanker,2018,145,142,2016,0.021126760563380254
Other liquid tanker,2019,148,142,2016,0.04225352112676051
Other liquid tanker,2020,152,142,2016,0.07042253521126751
Other liquid tanker,2021,151,142,2016,0.06338028169014076
Other liquid tanker,2022,150,142,2016,0.05633802816901401
Other liquid tanker,2023,147,142,2016,0.035211267605633756
Passenger,2016,8899,8899,2016,0
Passenger,2017,9205,8899,2016,0.0343858860546129
Passenger,2018,9466,8899,2016,0.06371502416001795
Passenger,2019,9676,8899,2016,0.08731318125632104
Passenger,2020,10549,8899,2016,0.1854140914709519
Passenger,2021,10774,8899,2016,0.2106978312169907
Passenger,2022,11353,8899,2016,0.27576132149679733
Passenger,2023,10800,8899,2016,0.21361950780986638
Reefer,2016,788,788,2016,0
Reefer,2017,777,788,2016,-0.013959390862944177
Reefer,2018,766,788,2016,-0.027918781725888353
Reefer,2019,736,788,2016,-0.06598984771573602
Reefer,2020,709,788,2016,-0.10025380710659904
Reefer,2021,709,788,2016,-0.10025380710659904
Reefer,2022,686,788,2016,-0.12944162436548223
Reefer,2023,665,788,2016,-0.15609137055837563
Tanker: chemical,2016,4891,4891,2016,0
Tanker: chemical,2017,5047,4891,2016,0.031895317930893397
Tanker: chemical,2018,5275,4891,2016,0.07851155182989156
Tanker: chemical,2019,5423,4891,2016,0.10877121243099563
Tanker: chemical,2020,6344,4891,2016,0.29707626252300146
