year,GFW (AIS),"GFW (AIS, maritime transport)","GFW (AIS, maritime transport excl. passenger)",ICCT,IMO,OECD
2012,NA,NA,NA,NA,133334,NA
2013,NA,NA,NA,NA,162503,NA
2014,NA,NA,NA,NA,179784,NA
2015,249732,148181,78008,NA,181005,NA
2016,282661,168852,84518,217221,194059,NA
2017,316073,189939,89251,235137,228134,NA
2018,345277,208648,91341,244776,237505,NA
2019,375934,230577,96816,253678,NA,112300
2020,393810,242103,100296,266772,NA,112000
2021,425933,265281,100924,256047,NA,114200
2022,449659,282081,99833,268019,NA,115100
2023,480651,300289,101668,278273,NA,118800
2024,508849,322787,105313,NA,NA,122500
2025,529848,339499,107002,NA,NA,NA
